"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Amir Abdur-Rahman","WR","12","0","0","","0","0.0","13","118","9.1","1","9.8","13","118","9.1","1","","vanderbilt","2021"
"2","Cam Johnson","WR","12","1","0","0.0","0","0.0","34","327","9.6","4","27.3","35","327","9.3","4","","vanderbilt","2021"
"3","Chris Pierce","WR","12","0","0","","0","0.0","57","654","11.5","2","54.5","57","654","11.5","2","","vanderbilt","2021"
"4","Devin Boddie Jr.","WR","12","4","13","3.3","0","1.1","29","263","9.1","1","21.9","33","276","8.4","1","","vanderbilt","2021"
"5","Gavin Schoenwald","TE","12","0","0","","0","0.0","4","42","10.5","1","3.5","4","42","10.5","1","","vanderbilt","2021"
"6","Joseph Bulovas","K","12","1","-5","-5.0","0","-0.4","0","0","","0","0.0","1","-5","-5.0","0","","vanderbilt","2021"
"7","Will Sheppard","WR","11","0","0","","0","0.0","43","577","13.4","4","52.5","43","577","13.4","4","","vanderbilt","2021"
"8","Rocko Griffin","RB","11","145","517","3.6","4","47.0","10","41","4.1","0","3.7","155","558","3.6","4","","vanderbilt","2021"
"9","James Ziglor III","DB","11","13","41","3.2","0","3.7","3","21","7.0","0","1.9","16","62","3.9","0","","vanderbilt","2021"
"10","Mike Wright","QB","10","91","373","4.1","1","37.3","0","0","","0","0.0","91","373","4.1","1","","vanderbilt","2021"
"11","Patrick Smith","RB","10","82","360","4.4","1","36.0","16","84","5.3","0","8.4","98","444","4.5","1","","vanderbilt","2021"
"12","Ben Bresnahan","TE","9","0","0","","0","0.0","10","104","10.4","0","11.6","10","104","10.4","0","","vanderbilt","2021"
"13","Ken Seals","QB","8","38","-28","-0.7","1","-3.5","0","0","","0","0.0","38","-28","-0.7","1","","vanderbilt","2021"
"14","Justin Ball","TE","5","0","0","","0","0.0","1","9","9.0","0","1.8","1","9","9.0","0","","vanderbilt","2021"
"15","Re'Mahn Davis","RB","3","44","211","4.8","1","70.3","5","27","5.4","0","9.0","49","238","4.9","1","","vanderbilt","2021"
"16","Logan Kyle","WR","2","0","0","","0","0.0","1","5","5.0","0","2.5","1","5","5.0","0","","vanderbilt","2021"
"17","Dylan Betts-Pauley","RB","1","2","0","0.0","0","0.0","0","0","","0","0.0","2","0","0.0","0","","vanderbilt","2021"
