"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Benji Gosnell","TE","13","0","0","","0","0.0","12","137","11.4","1","10.5","12","137","11.4","1","","virginia-tech","2023"
"2","Bhayshul Tuten","RB","13","173","863","5.0","10","66.4","27","239","8.9","2","18.4","200","1102","5.5","12","","virginia-tech","2023"
"3","Tucker Holloway","WR","13","1","33","33.0","1","2.5","5","49","9.8","0","3.8","6","82","13.7","1","","virginia-tech","2023"
"4","Cole Nelson","DL","13","1","18","18.0","0","1.4","0","0","","0","0.0","1","18","18.0","0","","virginia-tech","2023"
"5","Da'Quan Felton","WR","13","0","0","","0","0.0","38","667","17.6","8","51.3","38","667","17.6","8","","virginia-tech","2023"
"6","Da'Wain Lofton","WR","13","0","0","","0","0.0","6","58","9.7","0","4.5","6","58","9.7","0","","virginia-tech","2023"
"7","Stephen Gosnell","WR","13","0","0","","0","0.0","22","348","15.8","3","26.8","22","348","15.8","3","","virginia-tech","2023"
"8","Harrison Saint Germain","TE","13","0","0","","0","0.0","2","13","6.5","1","1.0","2","13","6.5","1","","virginia-tech","2023"
"9","Malachi Thomas","RB","13","83","381","4.6","2","29.3","9","49","5.4","0","3.8","92","430","4.7","2","","virginia-tech","2023"
"10","Kyron Drones","QB","13","166","818","4.9","5","62.9","1","0","0.0","0","0.0","167","818","4.9","5","","virginia-tech","2023"
"11","Ayden Greene","WR","12","0","0","","0","0.0","5","56","11.2","0","4.7","5","56","11.2","0","","virginia-tech","2023"
"12","Bryce Duke","RB","12","11","69","6.3","0","5.8","2","19","9.5","0","1.6","13","88","6.8","0","","virginia-tech","2023"
"13","Dae'Quan Wright","TE","12","0","0","","0","0.0","28","366","13.1","0","30.5","28","366","13.1","0","","virginia-tech","2023"
"14","Jaylin Lane","WR","12","14","51","3.6","0","4.3","41","538","13.1","6","44.8","55","589","10.7","6","","virginia-tech","2023"
"15","Xayvion Turner-Bradshaw","WR","10","4","73","18.3","1","7.3","1","9","9.0","0","0.9","5","82","16.4","1","","virginia-tech","2023"
"16","Chance Black","RB","10","6","22","3.7","0","2.2","0","0","","0","0.0","6","22","3.7","0","","virginia-tech","2023"
"17","Grant Wells","QB","6","17","75","4.4","1","12.5","0","0","","0","0.0","17","75","4.4","1","","virginia-tech","2023"
"18","Jeremiah Coney","RB","4","10","28","2.8","0","7.0","1","2","2.0","0","0.5","11","30","2.7","0","","virginia-tech","2023"
"19","William Watson III","QB","2","5","40","8.0","0","20.0","0","0","","0","0.0","5","40","8.0","0","","virginia-tech","2023"
"20","Ali Jennings","WR","2","0","0","","0","0.0","5","72","14.4","2","36.0","5","72","14.4","2","","virginia-tech","2023"
"21","Tralon Mitchell","RB","1","1","3","3.0","0","3.0","0","0","","0","0.0","1","3","3.0","0","","virginia-tech","2023"
