"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Billy Kemp","WR","12","2","9","4.5","0","0.8","74","725","9.8","6","60.4","76","734","9.7","6","","virginia","2021"
"2","Devin Darrington","RB","12","32","237","7.4","2","19.8","4","53","13.3","0","4.4","36","290","8.1","2","","virginia","2021"
"3","Dontayvion Wicks","WR","12","0","0","","0","0.0","57","1203","21.1","9","100.3","57","1203","21.1","9","","virginia","2021"
"4","Grant Misch","TE","12","0","0","","0","0.0","4","20","5.0","1","1.7","4","20","5.0","1","","virginia","2021"
"5","Jacob Rodriguez","QB","12","10","56","5.6","0","4.7","8","65","8.1","0","5.4","18","121","6.7","0","","virginia","2021"
"6","Keytaon Thompson","QB","12","39","247","6.3","4","20.6","78","990","12.7","1","82.5","117","1237","10.6","5","","virginia","2021"
"7","Ra'Shaun Henry","WR","12","0","0","","0","0.0","34","603","17.7","3","50.3","34","603","17.7","3","","virginia","2021"
"8","Brennan Armstrong","QB","11","98","251","2.6","9","22.8","1","18","18.0","1","1.6","99","269","2.7","10","","virginia","2021"
"9","Demick Starling","WR","11","0","0","","0","0.0","4","93","23.3","1","8.5","4","93","23.3","1","","virginia","2021"
"10","Jelani Woods","TE","11","1","1","1.0","0","0.1","44","598","13.6","8","54.4","45","599","13.3","8","","virginia","2021"
"11","Malachi Fields","WR","11","0","0","","0","0.0","11","172","15.6","0","15.6","11","172","15.6","0","","virginia","2021"
"12","Ronnie Walker Jr.","RB","11","5","32","6.4","2","2.9","2","20","10.0","0","1.8","7","52","7.4","2","","virginia","2021"
"13","Wayne Taulapapa","RB","10","62","324","5.2","2","32.4","11","62","5.6","1","6.2","73","386","5.3","3","","virginia","2021"
"14","Ira Armstead","QB","9","12","49","4.1","0","5.4","2","6","3.0","0","0.7","14","55","3.9","0","","virginia","2021"
"15","Mike Hollins","RB","9","49","213","4.3","2","23.7","16","83","5.2","0","9.2","65","296","4.6","2","","virginia","2021"
"16","Jay Woolfolk","QB","5","24","72","3.0","0","14.4","0","0","","0","0.0","24","72","3.0","0","","virginia","2021"
