"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Jahmal Banks","WR","14","0","0","","0","0.0","5","98","19.6","0","7.0","5","98","19.6","0","","wake-forest","2021"
"2","Taylor Morin","WR","14","1","1","1.0","0","0.1","43","621","14.4","5","44.4","44","622","14.1","5","","wake-forest","2021"
"3","Sam Hartman","QB","14","117","363","3.1","11","25.9","1","3","3.0","0","0.2","118","366","3.1","11","","wake-forest","2021"
"4","Loic Ngassam Nya","","14","0","0","","0","0.0","1","5","5.0","0","0.4","1","5","5.0","0","","wake-forest","2021"
"5","Ke'Shawn Williams","WR","14","0","0","","0","0.0","27","404","15.0","3","28.9","27","404","15.0","3","","wake-forest","2021"
"6","Donald Stewart","WR","14","0","0","","0","0.0","33","388","11.8","1","27.7","33","388","11.8","1","","wake-forest","2021"
"7","Christian Turner","RB","14","126","506","4.0","5","36.1","4","29","7.3","0","2.1","130","535","4.1","5","","wake-forest","2021"
"8","Blake Whiteheart","TE","14","0","0","","0","0.0","15","185","12.3","3","13.2","15","185","12.3","3","","wake-forest","2021"
"9","A.T. Perry","WR","14","0","0","","0","0.0","71","1293","18.2","15","92.4","71","1293","18.2","15","","wake-forest","2021"
"10","Jaquarii Roberson","WR","13","2","8","4.0","0","0.6","71","1078","15.2","8","82.9","73","1086","14.9","8","","wake-forest","2021"
"11","Brandon Chapman","TE","13","0","0","","0","0.0","12","85","7.1","3","6.5","12","85","7.1","3","","wake-forest","2021"
"12","Quinton Cooley","RB","13","45","156","3.5","1","12.0","1","5","5.0","0","0.4","46","161","3.5","1","","wake-forest","2021"
"13","Christian Beal-Smith","","12","131","604","4.6","7","50.3","9","55","6.1","0","4.6","140","659","4.7","7","","wake-forest","2021"
"14","Christian Beal","RB","12","131","604","4.6","7","50.3","9","55","6.1","0","4.6","140","659","4.7","7","","wake-forest","2021"
"15","Justice Ellison","RB","11","107","541","5.1","7","49.2","7","37","5.3","1","3.4","114","578","5.1","8","","wake-forest","2021"
"16","Cameron Hite","TE","11","0","0","","0","0.0","1","9","9.0","0","0.8","1","9","9.0","0","","wake-forest","2021"
"17","Ahmani Marshall","RB","10","23","103","4.5","0","10.3","0","0","","0","0.0","23","103","4.5","0","","wake-forest","2021"
"18","Leo Kelly","QB","3","1","4","4.0","0","1.3","0","0","","0","0.0","1","4","4.0","0","","wake-forest","2021"
"19","Loic Nya","OL","2","0","0","","0","0.0","1","5","5.0","0","2.5","1","5","5.0","0","","wake-forest","2021"
"20","Dez Williams","WR","1","0","0","","0","0.0","1","8","8.0","0","8.0","1","8","8.0","0","","wake-forest","2021"
"21","Santino Marucci","QB","1","1","-3","-3.0","0","-3.0","0","0","","0","0.0","1","-3","-3.0","0","","wake-forest","2021"
