"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Billy Riviere","TE","12","0","0","","0","0.0","8","77","9.6","0","6.4","8","77","9.6","0","","washington-state","2023"
"2","Tsion Nunnally","WR","12","0","0","","0","0.0","3","121","40.3","1","10.1","3","121","40.3","1","","washington-state","2023"
"3","Nakia Watson","RB","12","89","321","3.6","4","26.8","24","230","9.6","3","19.2","113","551","4.9","7","","washington-state","2023"
"4","Kyle Williams","WR","12","3","-10","-3.3","0","-0.8","61","843","13.8","6","70.3","64","833","13.0","6","","washington-state","2023"
"5","Josh Meredith","WR","12","0","0","","0","0.0","3","53","17.7","1","4.4","3","53","17.7","1","","washington-state","2023"
"6","Josh Kelly","WR","12","1","3","3.0","0","0.3","61","923","15.1","8","76.9","62","926","14.9","8","","washington-state","2023"
"7","Isaiah Hamilton","WR","12","0","0","","0","0.0","15","163","10.9","1","13.6","15","163","10.9","1","","washington-state","2023"
"8","Djouvensky Schlenbaker","RB","12","33","146","4.4","0","12.2","5","32","6.4","1","2.7","38","178","4.7","1","","washington-state","2023"
"9","Carlos Hernandez","WR","12","0","0","","0","0.0","24","258","10.8","0","21.5","24","258","10.8","0","","washington-state","2023"
"10","Cameron Ward","QB","12","120","144","1.2","8","12.0","0","0","","0","0.0","120","144","1.2","8","","washington-state","2023"
"11","Andre Dollar","TE","12","0","0","","0","0.0","3","44","14.7","0","3.7","3","44","14.7","0","","washington-state","2023"
"12","John Mateer","QB","11","21","92","4.4","3","8.4","2","14","7.0","0","1.3","23","106","4.6","3","","washington-state","2023"
"13","Lincoln Victor","WR","11","3","21","7.0","1","1.9","89","860","9.7","5","78.2","92","881","9.6","6","","washington-state","2023"
"14","Cooper Mathers","TE","10","0","0","","0","0.0","21","251","12.0","1","25.1","21","251","12.0","1","","washington-state","2023"
"15","Dylan Paine","RB","9","25","150","6.0","1","16.7","1","5","5.0","0","0.6","26","155","6.0","1","","washington-state","2023"
"16","Cameron Johnson","TE","9","0","0","","0","0.0","6","53","8.8","0","5.9","6","53","8.8","0","","washington-state","2023"
"17","Jaylen Jenkins","RB","6","20","61","3.1","0","10.2","6","61","10.2","0","10.2","26","122","4.7","0","","washington-state","2023"
"18","DT Sheffield","WR","2","1","-3","-3.0","0","-1.5","4","26","6.5","0","13.0","5","23","4.6","0","","washington-state","2023"
"19","Leo Pulalasi","RB","2","18","105","5.8","0","52.5","2","14","7.0","0","7.0","20","119","6.0","0","","washington-state","2023"
"20","Jack Pruett","WR","1","0","0","","0","0.0","2","14","7.0","0","14.0","2","14","7.0","0","","washington-state","2023"
