"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Ja'lynn Polk","WR","15","4","32","8.0","1","2.1","69","1159","16.8","9","77.3","73","1191","16.3","10","","washington","2023"
"2","Will Nixon","WR","15","33","201","6.1","1","13.4","13","84","6.5","0","5.6","46","285","6.2","1","","washington","2023"
"3","Rome Odunze","WR","15","2","37","18.5","1","2.5","92","1640","17.8","13","109.3","94","1677","17.8","14","AA","washington","2023"
"4","Michael Penix Jr.","QB","15","35","8","0.2","3","0.5","0","0","","0","0.0","35","8","0.2","3","H-2,Maxwell","washington","2023"
"5","Josh Cuevas","TE","15","0","0","","0","0.0","4","164","41.0","1","10.9","4","164","41.0","1","","washington","2023"
"6","Jack Westover","TE","15","1","1","1.0","1","0.1","46","433","9.4","4","28.9","47","434","9.2","5","","washington","2023"
"7","Devin Culp","TE","15","0","0","","0","0.0","16","208","13.0","2","13.9","16","208","13.0","2","","washington","2023"
"8","Germie Bernard","WR","14","13","43","3.3","2","3.1","34","419","12.3","2","29.9","47","462","9.8","4","","washington","2023"
"9","Dillon Johnson","RB","14","233","1195","5.1","16","85.4","24","190","7.9","0","13.6","257","1385","5.4","16","","washington","2023"
"10","Quentin Moore","TE","14","0","0","","0","0.0","2","10","5.0","1","0.7","2","10","5.0","1","","washington","2023"
"11","Denzel Boston","WR","14","0","0","","0","0.0","5","51","10.2","0","3.6","5","51","10.2","0","","washington","2023"
"12","Richard Newton","RB","13","5","30","6.0","0","2.3","0","0","","0","0.0","5","30","6.0","0","","washington","2023"
"13","Tybo Rogers","RB","12","44","184","4.2","0","15.3","6","72","12.0","0","6.0","50","256","5.1","0","","washington","2023"
"14","Jalen McMillan","WR","11","3","30","10.0","1","2.7","45","559","12.4","5","50.8","48","589","12.3","6","","washington","2023"
"15","Sam Adams II","RB","10","10","23","2.3","1","2.3","2","16","8.0","0","1.6","12","39","3.3","1","","washington","2023"
"16","Daniyel Ngata","RB","10","7","23","3.3","1","2.3","0","0","","0","0.0","7","23","3.3","1","","washington","2023"
"17","Giles Jackson","WR","7","0","0","","0","0.0","14","106","7.6","1","15.1","14","106","7.6","1","","washington","2023"
"18","Camden Sirmon","RB","6","0","0","","0","0.0","1","8","8.0","0","1.3","1","8","8.0","0","","washington","2023"
"19","Dylan Morris","QB","4","1","-5","-5.0","0","-1.3","0","0","","0","0.0","1","-5","-5.0","0","","washington","2023"
"20","Mason Wheeler","WR","2","0","0","","0","0.0","1","6","6.0","0","3.0","1","6","6.0","0","","washington","2023"
"21","Rashid Williams","WR","2","0","0","","0","0.0","2","30","15.0","0","15.0","2","30","15.0","0","","washington","2023"
