"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Winston Wright","WR","13","2","2","1.0","0","0.2","63","688","10.9","5","52.9","65","690","10.6","5","","west-virginia","2021"
"2","Sean Ryan","WR","13","0","0","","0","0.0","25","399","16.0","3","30.7","25","399","16.0","3","","west-virginia","2021"
"3","Jarret Doege","QB","13","66","-134","-2.0","1","-10.3","0","0","","0","0.0","66","-134","-2.0","1","","west-virginia","2021"
"4","Sam James","WR","13","2","9","4.5","0","0.7","42","505","12.0","5","38.8","44","514","11.7","5","","west-virginia","2021"
"5","Reese Smith","WR","13","0","0","","0","0.0","12","124","10.3","1","9.5","12","124","10.3","1","","west-virginia","2021"
"6","Bryce Ford-Wheaton","WR","12","0","0","","0","0.0","42","575","13.7","3","47.9","42","575","13.7","3","","west-virginia","2021"
"7","T.J. Banks","TE","12","0","0","","0","0.0","6","51","8.5","0","4.3","6","51","8.5","0","","west-virginia","2021"
"8","Leddie Brown","RB","12","223","1065","4.8","13","88.8","36","217","6.0","1","18.1","259","1282","4.9","14","","west-virginia","2021"
"9","Kaden Prather","WR","12","0","0","","0","0.0","12","175","14.6","0","14.6","12","175","14.6","0","","west-virginia","2021"
"10","Garrett Greene","QB","11","47","306","6.5","4","27.8","0","0","","0","0.0","47","306","6.5","4","","west-virginia","2021"
"11","Tony Mathis","RB","11","72","312","4.3","0","28.4","7","29","4.1","0","2.6","79","341","4.3","0","","west-virginia","2021"
"12","Isaiah Esdale","WR","10","1","-7","-7.0","0","-0.7","29","362","12.5","1","36.2","30","355","11.8","1","","west-virginia","2021"
"13","Justin Johnson Jr.","RB","8","24","90","3.8","0","11.3","2","9","4.5","0","1.1","26","99","3.8","0","","west-virginia","2021"
"14","Mike O'Laughlin","TE","5","0","0","","0","0.0","11","65","5.9","0","13.0","11","65","5.9","0","","west-virginia","2021"
"15","Markquan Rucker","RB","4","2","6","3.0","0","1.5","0","0","","0","0.0","2","6","3.0","0","","west-virginia","2021"
"16","Preston Fox","WR","4","0","0","","0","0.0","1","8","8.0","0","2.0","1","8","8.0","0","","west-virginia","2021"
"17","A'varius Sparrow","RB","4","3","4","1.3","1","1.0","0","0","","0","0.0","3","4","1.3","1","","west-virginia","2021"
"18","Sam Brown","WR","1","0","0","","0","0.0","2","16","8.0","0","16.0","2","16","8.0","0","","west-virginia","2021"
