"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Adam Cofield","RB","14","80","371","4.6","4","26.5","22","176","8.0","0","12.6","102","547","5.4","4","","western-kentucky","2021"
"2","Bailey Zappe","QB","14","51","17","0.3","3","1.2","0","0","","0","0.0","51","17","0.3","3","","western-kentucky","2021"
"3","Mitchell Tinsley","WR","14","0","0","","0","0.0","87","1402","16.1","14","100.1","87","1402","16.1","14","","western-kentucky","2021"
"4","Craig Burt Jr.","WR","14","0","0","","0","0.0","13","220","16.9","1","15.7","13","220","16.9","1","","western-kentucky","2021"
"5","Daewood Davis","WR","14","1","-8","-8.0","0","-0.6","43","763","17.7","8","54.5","44","755","17.2","8","","western-kentucky","2021"
"6","Malachi Corley","WR","14","1","-6","-6.0","0","-0.4","73","691","9.5","7","49.4","74","685","9.3","7","","western-kentucky","2021"
"7","Joey Beljan","TE","14","0","0","","0","0.0","14","91","6.5","6","6.5","14","91","6.5","6","","western-kentucky","2021"
"8","Jerreth Sterns","WR","14","5","17","3.4","0","1.2","150","1902","12.7","17","135.9","155","1919","12.4","17","","western-kentucky","2021"
"9","Ben Ratzlaff","WR","13","0","0","","0","0.0","12","118","9.8","0","9.1","12","118","9.8","0","","western-kentucky","2021"
"10","Kye Robichaux","RB","13","66","322","4.9","3","24.8","7","142","20.3","1","10.9","73","464","6.4","4","","western-kentucky","2021"
"11","Noah Whittington","RB","12","101","617","6.1","2","51.4","12","58","4.8","0","4.8","113","675","6.0","2","","western-kentucky","2021"
"12","Josh Sterns","WR","12","0","0","","0","0.0","16","118","7.4","0","9.8","16","118","7.4","0","","western-kentucky","2021"
"13","Jakairi Moses","RB","11","27","141","5.2","1","12.8","1","2","2.0","0","0.2","28","143","5.1","1","","western-kentucky","2021"
"14","Dalvin Smith","WR","11","0","0","","0","0.0","11","151","13.7","5","13.7","11","151","13.7","5","","western-kentucky","2021"
"15","Deangelo Wilson","WR","9","0","0","","0","0.0","3","53","17.7","0","5.9","3","53","17.7","0","","western-kentucky","2021"
"16","C.J. Jones","RB","8","4","17","4.3","0","2.1","2","20","10.0","0","2.5","6","37","6.2","0","","western-kentucky","2021"
"17","Drew Zaubi","QB","7","1","-3","-3.0","0","-0.4","0","0","","0","0.0","1","-3","-3.0","0","","western-kentucky","2021"
"18","Dakota Thomas","WR","7","0","0","","0","0.0","9","99","11.0","2","14.1","9","99","11.0","2","","western-kentucky","2021"
"19","Jamale Carothers","RB","4","3","9","3.0","0","2.3","0","0","","0","0.0","3","9","3.0","0","","western-kentucky","2021"
"20","Kendall Abdur-Rahman","WR","4","0","0","","0","0.0","1","-5","-5.0","0","-1.3","1","-5","-5.0","0","","western-kentucky","2021"
"21","Matthew Smith","WR","3","0","0","","0","0.0","1","-2","-2.0","0","-0.7","1","-2","-2.0","0","","western-kentucky","2021"
"22","Joshua Simon","TE","1","0","0","","0","0.0","3","73","24.3","2","73.0","3","73","24.3","2","","western-kentucky","2021"
"23","Aaron Key","LB","1","0","0","","0","0.0","1","4","4.0","0","4.0","1","4","4.0","0","","western-kentucky","2021"
