"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Andy Vujnovich","P","13","1","13","13.0","0","1.0","0","0","","0","0.0","1","13","13.0","0","","wisconsin","2022"
"2","Skyler Bell","WR","13","13","160","12.3","0","12.3","30","444","14.8","5","34.2","43","604","14.0","5","","wisconsin","2022"
"3","Keontez Lewis","WR","13","0","0","","0","0.0","20","313","15.7","3","24.1","20","313","15.7","3","","wisconsin","2022"
"4","Chimere Dike","WR","13","5","32","6.4","1","2.5","47","689","14.7","6","53.0","52","721","13.9","7","","wisconsin","2022"
"5","Jack Eschenbach","TE","13","0","0","","0","0.0","14","120","8.6","0","9.2","14","120","8.6","0","","wisconsin","2022"
"6","Dean Engram","WR","13","0","0","","0","0.0","13","152","11.7","0","11.7","13","152","11.7","0","","wisconsin","2022"
"7","Brady Schipper","RB","12","0","0","","0","0.0","1","1","1.0","0","0.1","1","1","1.0","0","","wisconsin","2022"
"8","Jackson Acker","RB","12","0","0","","0","0.0","5","73","14.6","1","6.1","5","73","14.6","1","","wisconsin","2022"
"9","Isaac Guerendo","RB","12","64","385","6.0","5","32.1","17","115","6.8","1","9.6","81","500","6.2","6","","wisconsin","2022"
"10","Graham Mertz","QB","12","50","-40","-0.8","2","-3.3","0","0","","0","0.0","50","-40","-0.8","2","","wisconsin","2022"
"11","Braelon Allen","RB","12","230","1242","5.4","11","103.5","13","104","8.0","0","8.7","243","1346","5.5","11","","wisconsin","2022"
"12","Jaylan Franklin","TE","11","0","0","","0","0.0","2","40","20.0","0","3.6","2","40","20.0","0","","wisconsin","2022"
"13","Hayden Rucci","TE","10","0","0","","0","0.0","6","75","12.5","1","7.5","6","75","12.5","1","","wisconsin","2022"
"14","Vinny Anthony","WR","10","3","14","4.7","0","1.4","0","0","","0","0.0","3","14","4.7","0","","wisconsin","2022"
"15","Chez Mellusi","RB","9","112","473","4.2","2","52.6","2","25","12.5","1","2.8","114","498","4.4","3","","wisconsin","2022"
"16","Markus Allen","WR","6","0","0","","0","0.0","7","91","13.0","1","15.2","7","91","13.0","1","","wisconsin","2022"
"17","Clay Cundiff","TE","4","0","0","","0","0.0","9","142","15.8","2","35.5","9","142","15.8","2","","wisconsin","2022"
"18","Julius Davis","RB","3","13","90","6.9","0","30.0","1","3","3.0","0","1.0","14","93","6.6","0","","wisconsin","2022"
"19","Chase Wolf","QB","3","4","-9","-2.3","0","-3.0","0","0","","0","0.0","4","-9","-2.3","0","","wisconsin","2022"
"20","Myles Burkett","QB","2","1","-9","-9.0","0","-4.5","0","0","","0","0.0","1","-9","-9.0","0","","wisconsin","2022"
"21","Deacon Hill","QB","1","1","-10","-10.0","0","-10.0","0","0","","0","0.0","1","-10","-10.0","0","","wisconsin","2022"
"22","JT Seagreaves","TE","1","0","0","","0","0.0","1","3","3.0","0","3.0","1","3","3.0","0","","wisconsin","2022"
