"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Xazavian Valladay","RB","13","209","1070","5.1","6","82.3","23","233","10.1","0","17.9","232","1303","5.6","6","","wyoming","2021"
"2","Isaiah Neyor","WR","13","12","23","1.9","1","1.8","44","878","20.0","12","67.5","56","901","16.1","13","","wyoming","2021"
"3","Wyatt Wieland","WR","13","0","0","","0","0.0","4","60","15.0","0","4.6","4","60","15.0","0","","wyoming","2021"
"4","Parker Christensen","TE","13","0","0","","0","0.0","13","127","9.8","0","9.8","13","127","9.8","0","","wyoming","2021"
"5","Titus Swen","RB","13","132","785","5.9","7","60.4","6","30","5.0","0","2.3","138","815","5.9","7","","wyoming","2021"
"6","Treyton Welch","TE","12","0","0","","0","0.0","19","163","8.6","2","13.6","19","163","8.6","2","","wyoming","2021"
"7","Colin O'Brien","TE","11","0","0","","0","0.0","2","27","13.5","0","2.5","2","27","13.5","0","","wyoming","2021"
"8","Dawaiian McNeely","RB","11","17","113","6.6","1","10.3","0","0","","0","0.0","17","113","6.6","1","","wyoming","2021"
"9","Josh Cobbs","WR","11","1","0","0.0","0","0.0","25","245","9.8","1","22.3","26","245","9.4","1","","wyoming","2021"
"10","Trey Smith","RB","11","14","87","6.2","1","7.9","1","15","15.0","0","1.4","15","102","6.8","1","","wyoming","2021"
"11","Levi Williams","QB","9","72","482","6.7","5","53.6","0","0","","0","0.0","72","482","6.7","5","","wyoming","2021"
"12","Sean Chambers","QB","9","71","209","2.9","3","23.2","0","0","","0","0.0","71","209","2.9","3","","wyoming","2021"
"13","Alex Brown","WR","9","0","0","","0","0.0","3","33","11.0","0","3.7","3","33","11.0","0","","wyoming","2021"
"14","Jackson Marcotte","TE","8","0","0","","0","0.0","1","6","6.0","0","0.8","1","6","6.0","0","","wyoming","2021"
"15","Ayden Eberhardt","WR","8","3","9","3.0","0","1.1","21","298","14.2","0","37.3","24","307","12.8","0","","wyoming","2021"
"16","Jeremy Hollingsworth","RB","6","1","2","2.0","0","0.3","0","0","","0","0.0","1","2","2.0","0","","wyoming","2021"
"17","Tyrese Grant","WR","6","2","-11","-5.5","0","-1.8","0","0","","0","0.0","2","-11","-5.5","0","","wyoming","2021"
