"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Lorenzo Lingard","RB","12","4","2","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","akron","2023"
"2","Owen Wiley","K","5","0","0","0","0","0","0","0","0","12","12","4","6","0","0","24","4.8","","akron","2023"
"3","Tahj Bullock","QB","10","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","akron","2023"
"4","Noah Perez","K","5","0","0","0","0","0","0","0","0","9","9","3","7","0","0","18","3.6","","akron","2023"
"5","Alex Adams","WR","7","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.7","","akron","2023"
"6","Demarcus Irons Jr.","QB","5","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","akron","2023"
"7","Drake Anderson","RB","12","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","akron","2023"
"8","Dante Jackson","K","12","0","0","0","0","0","0","0","0","3","3","2","3","0","0","9","0.8","","akron","2023"
"9","Bryan McCoy","LB","11","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","akron","2023"
"10","Daniel George","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","akron","2023"
"11","Devonte Golden-Nelson","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","akron","2023"
"12","Jake Newell","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","akron","2023"
"13","Jasaiah Gathings","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","akron","2023"
"14","Jeff Undercuffler","QB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","akron","2023"
"15","Myles Walker","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","akron","2023"
"16","T.J. Banks","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","akron","2023"
