"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","DeWayne McBride","RB","11","19","0","0","0","0","0","0","19","0","0","0","0","0","0","114","10.4","","alabama-birmingham","2022"
"2","Matthew Quinn","K","13","0","0","0","0","0","0","0","0","45","45","14","19","0","0","87","6.7","","alabama-birmingham","2022"
"3","Jermaine Brown Jr.","RB","13","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","alabama-birmingham","2022"
"4","Trea Shropshire","WR","12","0","6","0","0","0","0","0","6","0","0","0","0","1","0","38","3.2","","alabama-birmingham","2022"
"5","Dylan Hopkins","QB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","alabama-birmingham","2022"
"6","Terrell McDonald","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","alabama-birmingham","2022"
"7","Lee Witherspoon","RB","5","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","alabama-birmingham","2022"
"8","Tejhaun Palmer","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","alabama-birmingham","2022"
"9","Samario Rudolph","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","alabama-birmingham","2022"
"10","Luke Percer","WR","9","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","alabama-birmingham","2022"
"11","TJ Jones","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","alabama-birmingham","2022"
"12","Mac McWilliams","CB","7","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.9","","alabama-birmingham","2022"
"13","Bryce Damous","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","alabama-birmingham","2022"
"14","Jacob Zeno","QB","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","alabama-birmingham","2022"
"15","Fred Farrier II","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","alabama-birmingham","2022"
"16","Damien Miller","S","9","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","alabama-birmingham","2022"
"17","Reese Burkhardt","K","13","0","0","0","0","0","0","0","0","2","2","0","0","0","0","2","0.2","","alabama-birmingham","2022"
