"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Michael Hughes","K","14","0","0","0","0","0","0","0","0","54","54","19","22","0","0","111","7.9","","appalachian-state","2023"
"2","Kaedin Robinson","WR","14","0","10","0","0","0","0","0","10","0","0","0","0","0","0","60","4.3","","appalachian-state","2023"
"3","Kanye Roberts","RB","14","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.0","","appalachian-state","2023"
"4","Christian Horn","WR","14","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.6","","appalachian-state","2023"
"5","Eli Wilson","TE","14","1","5","0","0","0","0","0","6","0","0","0","0","0","0","36","2.6","","appalachian-state","2023"
"6","Nate Noel","RB","11","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","appalachian-state","2023"
"7","Dalton Stroman","WR","14","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","appalachian-state","2023"
"8","Dashaun Davis","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","appalachian-state","2023"
"9","David Larkins","TE","11","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","appalachian-state","2023"
"10","Joey Aguilar","QB","14","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","appalachian-state","2023"
"11","Tyrek Funderburk","DB","14","0","0","0","0","0","2","0","2","0","0","0","0","0","0","12","0.9","","appalachian-state","2023"
"12","Ahmani Marshall","RB","14","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","appalachian-state","2023"
"13","Milan Tucker","WR","14","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","appalachian-state","2023"
"14","Maquel Haywood","RB","13","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","appalachian-state","2023"
"15","Makai Jackson","WR","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","appalachian-state","2023"
"16","Anderson Castle","RB","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","appalachian-state","2023"
"17","Michael Hetzel","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","appalachian-state","2023"
