"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Tyler Loop","K","8","0","0","0","0","0","0","0","0","12","12","12","12","0","0","48","6.0","","arizona","2021"
"2","Michael Wiley","RB","11","2","4","0","0","0","0","0","6","0","0","0","0","0","0","36","3.3","","arizona","2021"
"3","Lucas Havrisik","K","12","0","0","0","0","0","0","0","0","3","3","9","14","0","0","30","2.5","","arizona","2021"
"4","Boobie Curry","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","arizona","2021"
"5","Tayvian Cunningham","WR","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","arizona","2021"
"6","Will Plummer","QB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","arizona","2021"
"7","Brian Casteel","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.7","","arizona","2021"
"8","Anthony Pandy","LB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","arizona","2021"
"9","Bryce Wolma","TE","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","arizona","2021"
"10","Drake Anderson","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","arizona","2021"
"11","Jamarye Joiner","WR","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","arizona","2021"
"12","Rhedi Short","S","11","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","arizona","2021"
"13","Stanley Berryhill III","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","arizona","2021"
"14","Dorian Singer","WR","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.4","","arizona","2021"
