"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Dominic Zvada","K","12","0","0","0","0","0","0","0","0","30","31","17","18","0","0","81","6.8","","arkansas-state","2022"
"2","Johnnie Lang","RB","12","3","3","0","1","0","0","0","7","0","0","0","0","1","0","44","3.7","","arkansas-state","2022"
"3","Brian Snead","RB","8","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","4.5","","arkansas-state","2022"
"4","Jeff Foreman","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","arkansas-state","2022"
"5","Seydou Traore","TE","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","arkansas-state","2022"
"6","James Blackman","QB","11","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","arkansas-state","2022"
"7","Te'Vailance Hunt","WR","8","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","2.3","","arkansas-state","2022"
"8","AJ Mayer","QB","9","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","arkansas-state","2022"
"9","Champ Flemings","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","arkansas-state","2022"
"10","Dane Motley","LB","11","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","arkansas-state","2022"
"11","Marcel Murray","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","arkansas-state","2022"
"12","Mike Sharpe II","RB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","arkansas-state","2022"
"13","Reed Tyler","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","arkansas-state","2022"
"14","Trevian Thomas","S","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","arkansas-state","2022"
"15","John Mincey","DL","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.2","","arkansas-state","2022"
"16","Aidan Ellison","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","arkansas-state","2022"
