"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Anders Carlson","K","10","0","0","0","0","0","0","0","0","35","36","14","21","0","0","77","7.7","","auburn","2021"
"2","Tank Bigsby","RB","13","10","0","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","auburn","2021"
"3","Demetris Robertson","WR","12","1","4","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","auburn","2021"
"4","Kobe Hudson","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.2","","auburn","2021"
"5","Bo Nix","QB","10","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","auburn","2021"
"6","Jarquez Hunter","RB","13","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","auburn","2021"
"7","Ben Patton","K","4","0","0","0","0","0","0","0","0","6","6","5","6","0","0","21","5.3","","auburn","2021"
"8","Ja'Varrius Johnson","WR","12","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","auburn","2021"
"9","Shaun Shivers","RB","10","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","auburn","2021"
"10","Malcolm Johnson Jr.","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"11","Tyler Fromm","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"12","TJ Finley","QB","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","auburn","2021"
"13","Smoke Monday","S","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"14","Shedrick Jackson","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"15","Sean Jackson","RB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","auburn","2021"
"16","Roger McCreary","CB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"17","Nehemiah Pritchett","CB","13","0","0","0","0","0","0","1","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"18","Marcus Harris","DL","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"19","Luke Deal","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","auburn","2021"
"20","Landen King","TE","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","auburn","2021"
"21","Barton Lester","LB","7","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","auburn","2021"
"22","John Samuel Shenker","TE","13","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","auburn","2021"
