"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jonah Dalmas","K","14","0","0","0","0","0","0","0","0","48","49","24","27","0","0","120","8.6","","boise-state","2023"
"2","Ashton Jeanty","RB","12","14","5","0","0","0","0","0","19","0","0","0","0","0","0","114","9.5","","boise-state","2023"
"3","Taylen Green","QB","13","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","boise-state","2023"
"4","George Holani","RB","8","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","5.3","","boise-state","2023"
"5","Eric McAlister","WR","9","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","boise-state","2023"
"6","Matt Lauter","TE","13","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.5","","boise-state","2023"
"7","Austin Bolt","WR","8","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","boise-state","2023"
"8","Jambres Dubar","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","boise-state","2023"
"9","Maddux Madsen","QB","9","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","boise-state","2023"
"10","Prince Strachan","WR","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","boise-state","2023"
"11","Stefan Cobbs","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.9","","boise-state","2023"
"12","Billy Bowens","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","boise-state","2023"
"13","Riley Smith","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","boise-state","2023"
"14","Luke Voorhees","TE","13","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","boise-state","2023"
