"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jake Oldroyd","K","13","0","0","0","0","0","0","0","0","45","45","9","14","0","0","72","5.5","","brigham-young","2022"
"2","Puka Nacua","WR","9","5","5","0","0","0","0","0","10","0","0","0","0","0","0","60","6.7","","brigham-young","2022"
"3","Keanu Hill","WR","13","0","7","0","0","0","0","0","7","0","0","0","0","1","0","44","3.4","","brigham-young","2022"
"4","Christopher Brooks","RB","11","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.3","","brigham-young","2022"
"5","Isaac Rex","TE","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","brigham-young","2022"
"6","Kody Epps","WR","8","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","4.5","","brigham-young","2022"
"7","Jaren Hall","QB","12","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","brigham-young","2022"
"8","Chase Roberts","WR","11","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","brigham-young","2022"
"9","Max Tooley","LB","7","0","0","0","0","0","2","0","2","0","0","0","0","0","0","12","1.7","","brigham-young","2022"
"10","Hinckley Ropati","RB","9","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","brigham-young","2022"
"11","Lopini Katoa","RB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","brigham-young","2022"
"12","Terence Fall","WR","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","brigham-young","2022"
"13","Ben Bywater","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","brigham-young","2022"
"14","Sol-Jay Maiava-Peters","QB","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","6.0","","brigham-young","2022"
"15","Justen Smith","K","3","0","0","0","0","0","0","0","0","3","5","1","1","0","0","6","2.0","","brigham-young","2022"
"16","Ethan Erickson","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","brigham-young","2022"
"17","Dallin Holker","TE","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","brigham-young","2022"
"18","Brayden Cosper","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","brigham-young","2022"
"19","Cash Peterman","K","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.5","","brigham-young","2022"
