"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Alex McNulty","K","12","0","0","0","0","0","0","0","0","37","37","13","21","0","0","76","6.3","","buffalo","2021"
"2","Dylan McDuffie","RB","12","11","1","0","0","0","0","0","12","0","0","0","0","1","0","74","6.2","","buffalo","2021"
"3","Kevin Marks","RB","10","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","buffalo","2021"
"4","Ron Cook Jr.","RB","12","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","buffalo","2021"
"5","Matt Myers","QB","10","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","buffalo","2021"
"6","Jake Molinich","TE","12","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","buffalo","2021"
"7","Kyle Vantrease","QB","10","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","buffalo","2021"
"8","Quian Williams","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.2","","buffalo","2021"
"9","Dominic Johnson","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","buffalo","2021"
"10","Tyler Stephens","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.7","","buffalo","2021"
"11","Jovany Ruiz","WR","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","buffalo","2021"
"12","Marlyn Johnson","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","buffalo","2021"
"13","Jamari Gassett","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","buffalo","2021"
"14","Mike Washington","RB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","buffalo","2021"
"15","Tajay Ahmed","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","buffalo","2021"
"16","Tim Terry Jr.","LB","11","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","buffalo","2021"
"17","Trevor Borland","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","buffalo","2021"
"18","C.J. Bazile","DE","12","0","0","0","0","0","0","1","1","0","0","0","0","0","0","6","0.5","","buffalo","2021"
"19","Jackson Baltar","K","10","0","0","0","0","0","0","0","0","1","1","1","1","0","0","4","0.4","","buffalo","2021"
"20","Garrett Selover","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","buffalo","2021"
