"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Dario Longhetto","PK","11","0","0","0","0","0","0","0","0","31","31","11","14","0","0","64","5.8","","california","2021"
"2","Christopher Brooks","RB","12","4","3","0","0","0","0","0","7","0","0","0","0","1","0","44","3.7","","california","2021"
"3","Damien Moore","RB","11","6","1","0","0","0","0","0","7","0","0","0","0","0","0","42","3.8","","california","2021"
"4","Chase Garbers","QB","11","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","california","2021"
"5","Trevon Clark","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","california","2021"
"6","Nikko Remigio","WR","11","0","2","0","1","0","0","0","3","0","0","0","0","0","0","18","1.6","","california","2021"
"7","Gavin Reinwald","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","california","2021"
"8","Jake Tonges","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","california","2021"
"9","Marcel Dancy","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","california","2021"
"10","Chris Street","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","california","2021"
"11","Daniel Scott","S","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","california","2021"
"12","Jeremiah Hunter","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","california","2021"
"13","Keleki Latu","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","california","2021"
"14","Trey Paster","","8","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.8","","california","2021"
"15","Nick Lopez","PK","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","3","1.5","","california","2021"
