"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Isaiah Bowser","RB","14","16","0","0","0","0","0","0","16","0","0","0","0","1","0","98","7.0","","central-florida","2022"
"2","Colton Boomer","K","12","0","0","0","0","0","0","0","0","42","43","14","15","0","0","84","7.0","","central-florida","2022"
"3","John Rhys Plumlee","QB","13","11","0","0","0","0","0","0","11","0","0","0","0","0","0","66","5.1","","central-florida","2022"
"4","Kobe Hudson","WR","12","0","7","0","0","0","0","0","7","0","0","0","0","1","0","44","3.7","","central-florida","2022"
"5","Javon Baker","WR","14","0","5","0","0","0","0","0","5","0","0","0","0","1","0","32","2.3","","central-florida","2022"
"6","Ryan O'Keefe","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","central-florida","2022"
"7","R.J. Harvey","RB","13","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","central-florida","2022"
"8","Quadric Bullard","DB","7","0","0","2","0","0","0","0","2","0","0","0","0","0","0","12","1.7","","central-florida","2022"
"9","Daniel Obarski","K","3","0","0","0","0","0","0","0","0","10","10","0","2","0","0","10","3.3","","central-florida","2022"
"10","Kemore Gamble","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.7","","central-florida","2022"
"11","Alec Holler","TE","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","central-florida","2022"
"12","Jordan McDonald","RB","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","central-florida","2022"
"13","Johnny Richardson","RB","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","central-florida","2022"
"14","Stephen Martin","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","central-florida","2022"
"15","Thomas Castellanos","QB","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","central-florida","2022"
"16","Xavier Townsend","WR","14","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","central-florida","2022"
"17","Zach Marsh-Wojan","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","central-florida","2022"
"18","Josh Celiscar","DL","14","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.1","","central-florida","2022"
