"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Bert Emanuel Jr.","QB","4","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","10.5","","central-michigan","2022"
"2","Marshall Meeder","K","10","0","0","0","0","0","0","0","0","23","25","5","11","0","0","38","3.8","","central-michigan","2022"
"3","Joel Wilson","TE","9","0","6","0","0","0","0","0","6","0","0","0","0","1","0","38","4.2","","central-michigan","2022"
"4","Lew Nichols","RB","9","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","4.0","","central-michigan","2022"
"5","Marion Lukes","RB","8","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","3.0","","central-michigan","2022"
"6","Jase Bauer","QB","6","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","4.0","","central-michigan","2022"
"7","Carlos Carriere","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","2","0","16","1.5","","central-michigan","2022"
"8","Jalen McGaughy","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.3","","central-michigan","2022"
"9","Noah Koenigsknecht","WR","7","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","1.1","","central-michigan","2022"
"10","Josh Rolston","K","12","0","0","0","0","0","0","0","0","4","6","1","3","0","0","7","0.6","","central-michigan","2022"
"11","Kyle Moretti","LB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","central-michigan","2022"
"12","Langston Lewis","WR","6","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","central-michigan","2022"
"13","Jake Tafelski","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","central-michigan","2022"
"14","Finn Hogan","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","central-michigan","2022"
"15","De'Javion Stepney","DB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","central-michigan","2022"
"16","Myles Bailey","RB","7","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","central-michigan","2022"
"17","Thomas Incoom","DL","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","central-michigan","2022"
"18","Tyson Davis","WR","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","central-michigan","2022"
"19","D.C. Temple","TE","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.7","","central-michigan","2022"
