"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Ryan Coe","K","12","0","0","0","0","0","0","0","0","44","44","19","23","0","0","101","8.4","","cincinnati","2022"
"2","Tyler Scott","WR","11","0","9","0","0","0","0","0","9","0","0","0","0","1","0","56","5.1","","cincinnati","2022"
"3","Charles McClelland","RB","13","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.2","","cincinnati","2022"
"4","Corey Kiner","RB","10","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","cincinnati","2022"
"5","Ryan Montgomery","RB","9","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","cincinnati","2022"
"6","Tre Tucker","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","cincinnati","2022"
"7","Nick Mardner","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","cincinnati","2022"
"8","Josh Whyle","TE","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","cincinnati","2022"
"9","Jadon Thompson","WR","12","0","1","0","1","0","0","0","2","0","0","0","0","0","0","12","1.0","","cincinnati","2022"
"10","Leonard Taylor","TE","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","cincinnati","2022"
"11","Wyatt Fischer","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","cincinnati","2022"
"12","Myles Montgomery","RB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","cincinnati","2022"
"13","Ja'Von Hicks","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","cincinnati","2022"
"14","Jabari Taylor","DL","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","cincinnati","2022"
"15","Evan Prater","QB","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","cincinnati","2022"
"16","Dominique Perry","DL","6","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","1.0","","cincinnati","2022"
"17","Deshawn Pace","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","cincinnati","2022"
"18","Christian Lowery","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","cincinnati","2022"
