"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Phil Mafah","RB","13","13","0","0","0","0","0","0","13","0","0","0","0","0","0","78","6.0","","clemson","2023"
"2","Jonathan Weitz","K","10","0","0","0","0","0","0","0","0","29","29","14","20","0","0","71","7.1","","clemson","2023"
"3","Will Shipley","RB","12","5","2","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","clemson","2023"
"4","Jake Briningstool","TE","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","clemson","2023"
"5","Tyler Brown","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.0","","clemson","2023"
"6","Cade Klubnik","QB","13","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","clemson","2023"
"7","Beaux Collins","WR","11","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","clemson","2023"
"8","Robert Gunn III","K","13","0","0","0","0","0","0","0","0","14","15","1","4","0","0","17","1.3","","clemson","2023"
"9","Josh Sapp","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.1","","clemson","2023"
"10","Jay Haynes","RB","3","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","4.0","","clemson","2023"
"11","Antonio Williams","WR","5","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","2.4","","clemson","2023"
"12","Jeremiah Trotter Jr.","LB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","clemson","2023"
"13","Khalil Barnes","S","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","clemson","2023"
"14","Nate Wiggins","CB","10","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.6","","clemson","2023"
"15","Shelton Lewis","CB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","clemson","2023"
"16","Troy Stellato","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","clemson","2023"
"17","Domonique Thomas","RB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","clemson","2023"
"18","Wade Woodaz","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","clemson","2023"
"19","Hogan Morton","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","clemson","2023"
"20","Quinn Castner","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","clemson","2023"
