"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Shermari Jones","RB","11","13","0","0","0","0","0","0","13","0","0","0","0","0","0","78","7.1","","coastal-carolina","2021"
"2","Isaiah Likely","TE","13","0","12","0","0","0","0","0","12","0","0","0","0","1","0","74","5.7","","coastal-carolina","2021"
"3","Massimo Biscardi","PK","10","0","0","0","0","0","0","0","0","46","48","7","8","0","0","67","6.7","","coastal-carolina","2021"
"4","Braydon Bennett","RB","13","7","2","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","coastal-carolina","2021"
"5","Jaivon Heiligh","WR","13","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.2","","coastal-carolina","2021"
"6","Reese White","RB","9","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","4.7","","coastal-carolina","2021"
"7","Kameron Brown","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","coastal-carolina","2021"
"8","Grayson McCall","QB","11","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","coastal-carolina","2021"
"9","Bryce Carpenter","QB","11","3","0","0","0","0","0","0","3","0","0","0","0","1","0","20","1.8","","coastal-carolina","2021"
"10","Tyson Mobley","WR","13","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","coastal-carolina","2021"
"11","Aaron Bedgood","WR","13","0","2","1","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","coastal-carolina","2021"
"12","Liam Gray","PK","3","0","0","0","0","0","0","0","0","12","13","1","2","0","0","15","5.0","","coastal-carolina","2021"
"13","Kieran Colahan","P","13","0","0","0","0","0","0","0","0","7","7","1","1","0","0","10","0.8","","coastal-carolina","2021"
"14","Jared Brown","WR","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","coastal-carolina","2021"
"15","Xavier Gravette","TE","6","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","coastal-carolina","2021"
"16","Mason Shelton","LB","12","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","coastal-carolina","2021"
"17","CJ Beasley","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","coastal-carolina","2021"
"18","Chris Rhone","WR","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","coastal-carolina","2021"
"19","Alex Spillum","S","13","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","coastal-carolina","2021"
