"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Cayden Camper","K","12","0","0","0","0","0","0","0","0","29","29","25","32","0","0","104","8.7","","colorado-state","2021"
"2","David Bailey","RB","11","9","2","0","0","0","0","0","11","0","0","0","0","0","0","66","6.0","","colorado-state","2021"
"3","Gary Williams","TE","12","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","colorado-state","2021"
"4","Cameron Butler","TE","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","colorado-state","2021"
"5","Dante Wright","WR","10","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","colorado-state","2021"
"6","Jaylen Thomas","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","colorado-state","2021"
"7","Todd Centeio","QB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","colorado-state","2021"
"8","Trey McBride","TE","12","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","AA","colorado-state","2021"
"9","Thomas Pannunzio","WR","12","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","colorado-state","2021"
"10","Ty McCullouch","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","colorado-state","2021"
