"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Joe McFadden","K","10","0","0","0","0","0","0","0","0","20","23","7","13","0","0","41","4.1","","connecticut","2023"
"2","Jelani Stafford","DL","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","connecticut","2023"
"3","Camryn Edwards","RB","9","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","connecticut","2023"
"4","Ta'Quan Roberson","QB","11","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","connecticut","2023"
"5","Victor Rosa","RB","11","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","connecticut","2023"
"6","Justin Joly","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.2","","connecticut","2023"
"7","Brett Buckman","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","connecticut","2023"
"8","Noe Ruelas","K","4","0","0","0","0","0","0","0","0","3","3","3","4","0","0","12","3.0","","connecticut","2023"
"9","Cameron Ross","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","connecticut","2023"
"10","Devontae Houston","RB","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","connecticut","2023"
"11","Geordon Porter","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","connecticut","2023"
"12","Jackson Mitchell","LB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","connecticut","2023"
"13","Kevens Clercius","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","connecticut","2023"
"14","Kylish Hicks","WR","6","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","connecticut","2023"
"15","Mumu Bin-Wahad","CB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","connecticut","2023"
"16","Nick Harris","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","connecticut","2023"
