"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Riley Leonard","QB","13","13","0","0","0","0","0","0","13","0","0","0","0","0","0","78","6.0","","duke","2022"
"2","Charlie Ham","K","10","0","0","0","0","0","0","0","0","29","29","9","15","0","0","56","5.6","","duke","2022"
"3","Jordan Waters","RB","13","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","duke","2022"
"4","Todd Pelino","K","6","0","0","0","0","0","0","0","0","23","23","8","9","0","0","47","7.8","","duke","2022"
"5","Shamir Hagans","WR","13","0","5","1","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","duke","2022"
"6","Jaquez Moore","RB","11","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","duke","2022"
"7","Jaylen Coleman","RB","9","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","duke","2022"
"8","Jordan Moore","QB","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","duke","2022"
"9","Jalon Calhoun","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","duke","2022"
"10","Nicky Dalmolin","TE","10","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","duke","2022"
"11","Brandon Johnson","S","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","duke","2022"
"12","DeWayne Carter","DL","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","duke","2022"
"13","Eric Weatherly","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","duke","2022"
"14","Jontavis Robertson","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","duke","2022"
