"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Owen Daffer","PK","12","0","0","0","0","0","0","0","0","39","41","19","23","0","0","96","8.0","","east-carolina","2021"
"2","Keaton Mitchell","RB","12","9","1","0","0","0","0","0","10","0","0","0","0","0","0","60","5.0","","east-carolina","2021"
"3","Holton Ahlers","QB","12","6","1","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","east-carolina","2021"
"4","Rahjai Harris","RB","12","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","east-carolina","2021"
"5","Ryan Jones","TE","12","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","east-carolina","2021"
"6","Tyler Snead","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","east-carolina","2021"
"7","Audie Omotosho","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","east-carolina","2021"
"8","Jsi Hatfield","WR","10","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","east-carolina","2021"
"9","Shane Calhoun","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","east-carolina","2021"
"10","C.J. Johnson","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.7","","east-carolina","2021"
"11","Ja'Quan McMillian","CB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","east-carolina","2021"
"12","Malik Fleming","CB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","east-carolina","2021"
"13","Mason Garcia","QB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","east-carolina","2021"
