"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Chase Gabriel","K","11","0","0","0","0","0","0","0","0","23","24","7","12","0","0","44","4.0","","florida-international","2022"
"2","Lexington Joseph","RB","12","5","2","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","florida-international","2022"
"3","Kris Mitchell","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.2","","florida-international","2022"
"4","Tyrese Chambers","WR","10","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","florida-international","2022"
"5","Grayson James","QB","11","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","florida-international","2022"
"6","Rivaldo Fairweather","TE","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","florida-international","2022"
"7","Eric Wilson Jr.","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","1","0","14","1.2","","florida-international","2022"
"8","Jalen Bracey","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","florida-international","2022"
"9","Adrian Cole","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","florida-international","2022"
"10","Alex Nobles","LB","11","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","florida-international","2022"
"11","Josiah Miamen","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","florida-international","2022"
"12","Kejon Owens","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","florida-international","2022"
