"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Adam Mihalek","K","13","0","0","0","0","0","0","0","0","42","43","14","21","0","0","84","6.5","","florida","2022"
"2","Montrell Johnson","RB","13","10","1","0","0","0","0","0","11","0","0","0","0","0","0","66","5.1","","florida","2022"
"3","Anthony Richardson","QB","12","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.5","","florida","2022"
"4","Trevor Etienne","RB","13","6","0","0","0","0","0","0","6","0","0","0","0","1","0","38","2.9","","florida","2022"
"5","Ricky Pearsall","WR","13","1","5","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","florida","2022"
"6","Caleb Douglas","WR","8","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","florida","2022"
"7","Daejon Reynolds","WR","8","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","florida","2022"
"8","Jonathan Odom","TE","9","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","florida","2022"
"9","Justin Shorter","WR","9","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","florida","2022"
"10","Nay'quan Wright","RB","7","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.7","","florida","2022"
"11","Xzavier Henderson","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","florida","2022"
"12","Ja-Quavion Fraziars","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.8","","florida","2022"
"13","Jalen Kimber","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","florida","2022"
"14","Jaydon Hill","DB","9","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.7","","florida","2022"
"15","Keon Zipperer","TE","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","florida","2022"
"16","Lorenzo Lingard","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","florida","2022"
