"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Dylan Lynch","K","13","0","0","0","0","0","0","0","0","40","40","24","30","0","0","112","8.6","","fresno-state","2023"
"2","Malik Sherrod","RB","12","9","1","0","1","0","0","0","11","0","0","0","0","0","0","66","5.5","","fresno-state","2023"
"3","Jalen Moss","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","2","0","40","3.1","","fresno-state","2023"
"4","Elijah Gilliam","RB","13","5","1","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","fresno-state","2023"
"5","Jaelen Gill","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","fresno-state","2023"
"6","Erik Brooks","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","fresno-state","2023"
"7","Tre Watson","TE","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","fresno-state","2023"
"8","Mac Dalena","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","fresno-state","2023"
"9","Jake Boust","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.6","","fresno-state","2023"
"10","Logan Fife","QB","12","1","0","0","0","0","0","0","1","0","0","0","0","1","0","8","0.7","","fresno-state","2023"
"11","Josiah Freeman","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","fresno-state","2023"
"12","Mikey Keene","QB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","fresno-state","2023"
"13","Tim Grear Jr.","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","fresno-state","2023"
