"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Michael Lantz","K","13","0","0","0","0","0","0","0","0","45","45","23","28","0","0","114","8.8","","georgia-southern","2023"
"2","Jalen White","RB","11","9","1","0","0","0","0","0","10","0","0","0","0","0","0","60","5.5","","georgia-southern","2023"
"3","Derwin Burgess Jr.","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","georgia-southern","2023"
"4","Khaleb Hood","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","georgia-southern","2023"
"5","Jjay Mcafee","TE","12","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.2","","georgia-southern","2023"
"6","OJ Arnold","RB","10","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","georgia-southern","2023"
"7","Anthony Queeley","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","georgia-southern","2023"
"8","Dalen Cobb","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","georgia-southern","2023"
"9","Keaton Upshaw","TE","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","georgia-southern","2023"
"10","David Mbadinga","RB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","georgia-southern","2023"
"11","Jaylon Barden","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","georgia-southern","2023"
"12","Evan Lester","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","georgia-southern","2023"
"13","Khadry Jackson","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","georgia-southern","2023"
"14","DeAndre Buchannon","WR","13","0","0","0","1","0","0","0","1","0","0","0","0","0","0","6","0.5","","georgia-southern","2023"
"15","Marcus Sanders Jr.","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","georgia-southern","2023"
"16","Marques Watson-Trent","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","georgia-southern","2023"
"17","Davis Brin","QB","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","georgia-southern","2023"
"18","Tyrell Davis","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","georgia-southern","2023"
