"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jack Podlesny","PK","15","0","0","0","0","0","0","0","0","71","72","22","27","0","0","137","9.1","","georgia","2021"
"2","Brock Bowers","TE","15","1","13","0","0","0","0","0","14","0","0","0","0","0","0","84","5.6","","georgia","2021"
"3","Zamir White","RB","15","11","0","1","0","0","0","0","12","0","0","0","0","0","0","72","4.8","","georgia","2021"
"4","James Cook","RB","15","7","4","0","0","0","0","0","11","0","0","0","0","0","0","66","4.4","","georgia","2021"
"5","Ladd McConkey","WR","15","1","5","0","0","0","0","0","6","0","0","0","0","0","0","36","2.4","","georgia","2021"
"6","Kenny McIntosh","RB","14","3","2","0","0","0","0","0","5","0","0","0","0","0","0","30","2.1","","georgia","2021"
"7","Jermaine Burton","WR","14","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.7","","georgia","2021"
"8","Adonai Mitchell","WR","15","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.6","","georgia","2021"
"9","Daijun Edwards","RB","15","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.2","","georgia","2021"
"10","Stetson Bennett","QB","14","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","georgia","2021"
"11","Arian Smith","WR","4","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","3.0","","georgia","2021"
"12","Darnell Washington","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","georgia","2021"
"13","Jamon Dumas-Johnson","LB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","georgia","2021"
"14","Jordan Davis","DL","15","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","H-9,Bednarik,AA","georgia","2021"
"15","Justin Robinson","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","georgia","2021"
"16","Kearis Jackson","WR","15","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","georgia","2021"
"17","Kelee Ringo","DB","15","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","georgia","2021"
"18","Kendall Milton","RB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","georgia","2021"
"19","Christopher Smith","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","georgia","2021"
"20","Brett Seither","TE","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","georgia","2021"
"21","Nakobe Dean","LB","15","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","AA","georgia","2021"
