"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Matthew Shipley","K","13","0","0","0","0","0","0","0","0","30","31","14","18","0","0","72","5.5","","hawaii","2023"
"2","Pofele Ashlock","WR","13","0","9","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","hawaii","2023"
"3","Steven McBride","WR","13","0","9","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","hawaii","2023"
"4","Alex Perry","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","hawaii","2023"
"5","Dalen Morris","QB","9","2","0","0","0","0","0","0","2","0","0","0","0","1","0","14","1.6","","hawaii","2023"
"6","Brayden Schager","QB","13","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","hawaii","2023"
"7","Chuuky Hines","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","hawaii","2023"
"8","Devon Tauaefa","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","hawaii","2023"
"9","Jalen Walthall","WR","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","hawaii","2023"
"10","Jonah Panoke","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","hawaii","2023"
"11","Koali Nishigaya","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","hawaii","2023"
"12","Landon Sims","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","hawaii","2023"
"13","Meki Pei","DB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","hawaii","2023"
"14","Nicholas Cenacle","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","hawaii","2023"
"15","Tamatoa Mokiao-Atimalala","WR","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","hawaii","2023"
