"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Alton McCaskill","RB","14","16","2","0","0","0","0","0","18","0","0","0","0","0","0","108","7.7","","houston","2021"
"2","Dalton Witherspoon","K","14","0","0","0","0","0","0","0","0","59","60","16","24","0","0","107","7.6","","houston","2021"
"3","Nathaniel Dell","WR","14","0","12","0","0","0","0","0","12","0","0","0","0","0","0","72","5.1","","houston","2021"
"4","Ta'Zhawn Henry","RB","13","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.2","","houston","2021"
"5","Jake Herslow","WR","14","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.1","","houston","2021"
"6","Jeremy Singleton","WR","14","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.1","","houston","2021"
"7","Marcus Jones","CB","13","0","1","2","2","0","0","0","5","0","0","0","0","0","0","30","2.3","AA","houston","2021"
"8","Seth Green","TE","14","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","houston","2021"
"9","Chandler Smith","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","houston","2021"
"10","Christian Trahan","TE","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","houston","2021"
"11","Clayton Tune","QB","14","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","houston","2021"
"12","Alex Hogan","CB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","houston","2021"
"13","Gervarrius Owens","S","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","houston","2021"
"14","Jaylen Erwin","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","houston","2021"
"15","KeSean Carter","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","houston","2021"
"16","Kyle Ramsey","K","4","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3","0.8","","houston","2021"
