"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Chase Brown","RB","12","10","3","0","0","0","0","0","13","0","0","0","0","0","0","78","6.5","","illinois","2022"
"2","Caleb Griffin","K","11","0","0","0","0","0","0","0","0","32","32","14","19","0","0","74","6.7","","illinois","2022"
"3","Tommy Devito","QB","13","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","illinois","2022"
"4","Isaiah Williams","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","illinois","2022"
"5","Fabrizio Pinton","K","4","0","0","0","0","0","0","0","0","2","3","7","7","0","0","23","5.8","","illinois","2022"
"6","Brian Hightower","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","illinois","2022"
"7","Michael Marchese","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","illinois","2022"
"8","Pat Bryant","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","illinois","2022"
"9","Reggie Love III","RB","13","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","illinois","2022"
"10","Sydney Brown","DB","12","0","0","0","0","1","1","0","2","0","0","0","0","0","0","12","1.0","","illinois","2022"
"11","Tip Reiman","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.6","","illinois","2022"
"12","Matthew Bailey","DB","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","illinois","2022"
