"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Charles Campbell","K","12","0","0","0","0","0","0","0","0","27","27","14","20","0","0","69","5.8","","indiana","2022"
"2","Josh Henderson","RB","12","4","4","0","0","0","0","0","8","0","0","0","0","0","0","48","4.0","","indiana","2022"
"3","Shaun Shivers","RB","12","6","1","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","indiana","2022"
"4","Jaylin Lucas","RB","11","2","0","0","2","0","0","0","4","0","0","0","0","0","0","24","2.2","","indiana","2022"
"5","AJ Barner","TE","10","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","2.0","","indiana","2022"
"6","Donaven McCulley","WR","12","1","1","0","0","0","0","0","2","0","0","0","0","1","0","14","1.2","","indiana","2022"
"7","Cam Camper","WR","7","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.7","","indiana","2022"
"8","D.J. Matthews","WR","9","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.3","","indiana","2022"
"9","Aaron Steinfeldt","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","indiana","2022"
"10","Andison Coby","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","indiana","2022"
"11","Connor Bazelak","QB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","indiana","2022"
"12","Dexter Williams II","QB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","indiana","2022"
"13","Emery Simmons","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","indiana","2022"
"14","Myles Jackson","LB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","indiana","2022"
