"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Drew Stevens","K","14","0","0","0","0","0","0","0","0","19","20","18","26","0","0","73","5.2","","iowa","2023"
"2","Erick All","TE","7","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","2.9","","iowa","2023"
"3","Kaleb Johnson","RB","10","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","iowa","2023"
"4","Addison Ostrenga","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","iowa","2023"
"5","Deacon Hill","QB","13","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","iowa","2023"
"6","Jaziun Patterson","RB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","iowa","2023"
"7","Kamari Moulton","RB","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","3.0","","iowa","2023"
"8","Leshon Williams","RB","14","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","iowa","2023"
"9","Cooper DeJean","DB","10","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.6","AA","iowa","2023"
"10","Diante Vines","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","iowa","2023"
"11","Kaleb Brown","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","iowa","2023"
"12","Max White","RB","14","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","iowa","2023"
"13","Sebastian Castro","DB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","iowa","2023"
"14","Seth Anderson","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","iowa","2023"
"15","Marshall Meeder","K","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","3","3.0","","iowa","2023"
