"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Alen Karajic","K","12","0","0","0","0","0","0","0","0","42","43","14","20","0","0","84","7.0","","jacksonville-state","2023"
"2","Zion Webb","QB","12","7","0","0","0","0","0","0","7","0","0","0","0","1","0","44","3.7","","jacksonville-state","2023"
"3","Logan Smothers","QB","12","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","jacksonville-state","2023"
"4","Malik Jackson","RB","12","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","jacksonville-state","2023"
"5","Ron Wiggins","RB","8","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","4.5","","jacksonville-state","2023"
"6","Sean Brown","TE","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","jacksonville-state","2023"
"7","J'Wan Evans","RB","7","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","3.4","","jacksonville-state","2023"
"8","Perry Carter","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","jacksonville-state","2023"
"9","Anwar Lewis","RB","9","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.0","","jacksonville-state","2023"
"10","Garrison Rippa","K","2","0","0","0","0","0","0","0","0","4","4","2","2","0","0","10","5.0","","jacksonville-state","2023"
"11","Quinton Lane","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.6","","jacksonville-state","2023"
"12","Cole Fuller","TE","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","jacksonville-state","2023"
"13","Curley Young Jr.","DE","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","jacksonville-state","2023"
"14","Kekoura Tarnue","CB","13","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","jacksonville-state","2023"
"15","Michael Pettway","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","jacksonville-state","2023"
"16","Sterling Galban","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","jacksonville-state","2023"
