"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Camden Wise","K","11","0","0","0","0","0","0","0","0","50","52","11","16","0","0","83","7.5","","james-madison","2022"
"2","Percy Agyei-Obese","RB","10","8","0","0","0","0","0","0","8","0","0","0","0","0","0","48","4.8","","james-madison","2022"
"3","Kris Thornton","WR","11","0","7","0","0","0","0","0","7","0","0","0","0","1","0","44","4.0","","james-madison","2022"
"4","Devin Ravenel","WR","11","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.8","","james-madison","2022"
"5","Todd Centeio","QB","10","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","4.2","","james-madison","2022"
"6","Kaelon Black","RB","9","3","2","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","james-madison","2022"
"7","Latrele Palmer","RB","11","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","james-madison","2022"
"8","Reggie Brown","WR","8","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","3.0","","james-madison","2022"
"9","Drew Painter","TE","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","james-madison","2022"
"10","Jailin Walker","LB","10","0","0","0","0","0","2","0","2","0","0","0","0","0","0","12","1.2","","james-madison","2022"
"11","Terrance Greene Jr.","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","james-madison","2022"
"12","Zach Horton","TE","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","james-madison","2022"
"13","Sammy Malignaggi","RB","11","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","james-madison","2022"
"14","Solomon Vanhorse","RB","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","james-madison","2022"
"15","Xavier Cokley","CB","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.5","","james-madison","2022"
