"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Deuce Vaughn","RB","14","9","3","0","0","0","0","0","12","0","0","0","0","0","0","72","5.1","AA","kansas-state","2022"
"2","Ty Zentner","P","14","0","0","0","0","0","0","0","0","31","31","11","11","0","0","64","4.6","","kansas-state","2022"
"3","Adrian Martinez","QB","10","10","0","0","0","0","0","0","10","0","0","0","0","0","0","60","6.0","","kansas-state","2022"
"4","Chris Tennant","K","7","0","0","0","0","0","0","0","0","23","25","9","14","0","0","50","7.1","","kansas-state","2022"
"5","DJ Giddens","RB","14","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","2.6","","kansas-state","2022"
"6","Kade Warner","WR","14","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.1","","kansas-state","2022"
"7","Malik Knowles","WR","14","3","2","0","0","0","0","0","5","0","0","0","0","0","0","30","2.1","","kansas-state","2022"
"8","Phillip Brooks","WR","14","0","4","1","0","0","0","0","5","0","0","0","0","0","0","30","2.1","","kansas-state","2022"
"9","Ben Sinnott","TE","14","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.7","","kansas-state","2022"
"10","Will Howard","QB","7","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.6","","kansas-state","2022"
"11","Samuel Wheeler","TE","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","kansas-state","2022"
"12","Cincere Mason","S","11","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","kansas-state","2022"
"13","Desmond Purnell","LB","14","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","kansas-state","2022"
"14","Jordan Schippers","RB","14","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","kansas-state","2022"
"15","RJ Garcia II","WR","14","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","kansas-state","2022"
