"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jacob Borcila","K","11","0","0","0","0","0","0","0","0","48","48","7","13","0","0","69","6.3","","kansas","2022"
"2","Devin Neal","RB","13","9","1","0","0","0","0","0","10","0","0","0","0","0","0","60","4.6","","kansas","2022"
"3","Jalon Daniels","QB","9","7","0","0","0","0","0","0","7","0","0","0","0","0","0","42","4.7","","kansas","2022"
"4","Daniel Hishaw Jr.","RB","5","5","1","0","0","0","0","0","6","0","0","0","0","0","0","36","7.2","","kansas","2022"
"5","Luke Grimm","WR","12","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","kansas","2022"
"6","Mason Fairchild","TE","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","kansas","2022"
"7","Quentin Skinner","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","kansas","2022"
"8","Jared Casey","TE","13","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.0","","kansas","2022"
"9","Lawrence Arnold","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.0","","kansas","2022"
"10","Jason Bean","QB","12","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","kansas","2022"
"11","Ky Thomas","RB","9","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","2.0","","kansas","2022"
"12","Torry Locklin","WR","13","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","kansas","2022"
"13","Owen Piepergerdes","K","3","0","0","0","0","0","0","0","0","9","9","1","1","0","0","12","4.0","","kansas","2022"
"14","Cobee Bryant","CB","12","0","0","0","0","0","1","1","2","0","0","0","0","0","0","12","1.0","","kansas","2022"
"15","Sevion Morrison","RB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kansas","2022"
"16","Douglas Emilien","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kansas","2022"
"17","Trevor Kardell","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kansas","2022"
