"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Andrew Glass","K","12","0","0","0","0","0","0","0","0","16","17","15","17","0","0","61","5.1","","kent-state","2023"
"2","Luke Floriea","WR","12","1","4","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","kent-state","2023"
"3","Chrishon McCray","WR","9","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.7","","kent-state","2023"
"4","Gavin Garcia","RB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","kent-state","2023"
"5","Jaylen Thomas","RB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","kent-state","2023"
"6","Hayden Junker","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kent-state","2023"
"7","Jameel Gardner","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kent-state","2023"
"8","Michael Alaimo","QB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","kent-state","2023"
"9","Tommy Ulatowski","QB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","kent-state","2023"
"10","Trell Harris","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kent-state","2023"
"11","Xavier Williams","RB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kent-state","2023"
"12","Will Hryszko","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","kent-state","2023"
