"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Matt Ruffolo","K","13","0","0","0","0","0","0","0","0","54","56","10","13","0","0","84","6.5","","kentucky","2021"
"2","Christopher Rodriguez Jr.","RB","13","9","3","0","0","0","0","0","12","0","0","0","0","0","0","72","5.5","","kentucky","2021"
"3","Will Levis","QB","13","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","kentucky","2021"
"4","Wan'Dale Robinson","WR","13","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.2","","kentucky","2021"
"5","Josh Ali","WR","10","1","3","1","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","kentucky","2021"
"6","Justin Rigg","TE","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","kentucky","2021"
"7","Kavosiey Smoke","RB","12","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","kentucky","2021"
"8","Izayah Cummings","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","kentucky","2021"
"9","Jutahn McClain","RB","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","kentucky","2021"
"10","Tyrell Ajian","G","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","kentucky","2021"
"11","Trevin Wallace","LB","12","0","0","0","0","0","0","1","1","0","0","0","0","0","0","6","0.5","","kentucky","2021"
"12","Quandre Mosely","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","kentucky","2021"
"13","Mike Drennen","","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","kentucky","2021"
"14","Michael Drennen II","WR","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","kentucky","2021"
"15","La'Vell Wright","RB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","kentucky","2021"
"16","Beau Allen","QB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","kentucky","2021"
"17","Jalen Geiger","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","kentucky","2021"
"18","Isaiah Epps","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kentucky","2021"
"19","Eli Cox","G","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","kentucky","2021"
"20","DeMarcus Harris","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kentucky","2021"
"21","Brenden Bates","TE","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","kentucky","2021"
