"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Malik Willis","QB","13","13","0","0","0","0","0","0","13","0","0","0","0","0","0","78","6.0","","liberty","2021"
"2","CJ Daniels","WR","13","1","7","0","0","0","0","0","8","0","0","0","0","0","0","48","3.7","","liberty","2021"
"3","Brayden Beck","K","9","0","0","0","0","0","0","0","0","34","37","4","5","0","0","46","5.1","","liberty","2021"
"4","Demario Douglas","WR","12","0","6","1","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","liberty","2021"
"5","Shedro Louis","RB","13","4","2","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","liberty","2021"
"6","Kevin Shaa","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","liberty","2021"
"7","TJ Green","RB","13","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","liberty","2021"
"8","Alex Barbir","K","8","0","0","0","0","0","0","0","0","18","19","1","4","0","0","21","2.6","","liberty","2021"
"9","Joshua Mack","RB","11","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","liberty","2021"
"10","Johnny Huntley","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","liberty","2021"
"11","Noah Frith","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","liberty","2021"
"12","Jerome Jackson","TE","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","liberty","2021"
"13","D.J. Stubbs","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","liberty","2021"
"14","Brody Brumm","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.6","","liberty","2021"
"15","Johnathan Bennett","QB","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","liberty","2021"
"16","Khaleb Coleman","WR","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","liberty","2021"
"17","Jaivian Lofton","WR","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","liberty","2021"
"18","Skyler Thomas","S","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","liberty","2021"
"19","Treon Sibley","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","liberty","2021"
