"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Kenneth Almendares","K","9","0","0","0","0","0","0","0","0","23","24","18","23","0","0","77","8.6","","louisiana-lafayette","2022"
"2","Michael Jefferson","WR","12","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","louisiana-lafayette","2022"
"3","Chris Smith","RB","11","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","2.2","","louisiana-lafayette","2022"
"4","Johnny Lumpkin","TE","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","louisiana-lafayette","2022"
"5","Preston Stafford","K","4","0","0","0","0","0","0","0","0","15","15","2","4","0","0","21","5.3","","louisiana-lafayette","2022"
"6","Dontae Fleming","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","louisiana-lafayette","2022"
"7","John Stephens Jr.","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","louisiana-lafayette","2022"
"8","Ben Wooldridge","QB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","louisiana-lafayette","2022"
"9","Chandler Fields","QB","8","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","louisiana-lafayette","2022"
"10","Dre'lyn Washington","RB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","louisiana-lafayette","2022"
"11","Eric Garror","CB","13","0","0","2","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","louisiana-lafayette","2022"
"12","Jacob Bernard","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","louisiana-lafayette","2022"
"13","Terrence Williams","RB","12","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","louisiana-lafayette","2022"
"14","Neal Johnson","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","louisiana-lafayette","2022"
"15","Pearse Migl","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","louisiana-lafayette","2022"
"16","Caleb Anderson","CB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","louisiana-lafayette","2022"
"17","Peter LeBlanc","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisiana-lafayette","2022"
"18","Lance Legendre","WR","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","louisiana-lafayette","2022"
"19","Trey Amos","CB","11","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","louisiana-lafayette","2022"
