"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Derek McCormick","K","9","0","0","0","0","0","0","0","0","16","17","10","12","0","0","46","5.1","","louisiana-monroe","2023"
"2","Tyrone Howell","WR","12","0","7","0","0","0","0","0","7","0","0","0","0","0","0","42","3.5","","louisiana-monroe","2023"
"3","Hunter Smith","RB","12","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","louisiana-monroe","2023"
"4","Isaiah Woullard","RB","12","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","louisiana-monroe","2023"
"5","Nyny Davis","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","louisiana-monroe","2023"
"6","Jiya Wright","QB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","louisiana-monroe","2023"
"7","Dariyan Wiley","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","louisiana-monroe","2023"
"8","Braxton Guilbeau","P","12","0","0","0","0","0","0","0","0","4","4","1","2","0","0","7","0.6","","louisiana-monroe","2023"
"9","Dylan Howell","DL","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","louisiana-monroe","2023"
"10","Alred Luke","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","louisiana-monroe","2023"
"11","Ja'Terious Evans","LB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","louisiana-monroe","2023"
"12","Bud Tolbert","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisiana-monroe","2023"
"13","Nolan Quinlan","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisiana-monroe","2023"
"14","Thaddius Franklin Jr.","RB","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","louisiana-monroe","2023"
"15","Tristan Driggers","LB","12","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisiana-monroe","2023"
"16","Bugs Mortimer","WR","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.2","","louisiana-monroe","2023"
"17","Blake Murphy","QB","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.5","","louisiana-monroe","2023"
"18","Luke Stagg","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","louisiana-monroe","2023"
