"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Damian Ramos","K","14","0","0","0","0","0","0","0","0","55","57","10","14","0","0","85","6.1","","louisiana-state","2022"
"2","Jayden Daniels","QB","14","11","1","0","0","0","0","0","12","0","0","0","0","0","0","72","5.1","","louisiana-state","2022"
"3","Noah Cain","RB","14","10","0","0","0","0","0","0","10","0","0","0","0","0","0","60","4.3","","louisiana-state","2022"
"4","John Emery Jr.","RB","11","6","2","0","0","0","0","0","8","0","0","0","0","0","0","48","4.4","","louisiana-state","2022"
"5","Josh Williams","RB","11","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.3","","louisiana-state","2022"
"6","Jaray Jenkins","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","louisiana-state","2022"
"7","Brian Thomas Jr.","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","louisiana-state","2022"
"8","Armoni Goodwin","RB","7","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","4.3","","louisiana-state","2022"
"9","Mason Taylor","TE","14","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.4","","louisiana-state","2022"
"10","Malik Nabers","WR","14","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","louisiana-state","2022"
"11","Kayshon Boutte","WR","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","louisiana-state","2022"
"12","Jay Ward","DB","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","louisiana-state","2022"
"13","Jack Bech","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisiana-state","2022"
"14","Derrick Davis Jr.","DB","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","louisiana-state","2022"
"15","Micah Baskerville","LB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","louisiana-state","2022"
"16","Quad Wilson","DB","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","3.0","","louisiana-state","2022"
"17","Trey Finison","K","3","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3","1.0","","louisiana-state","2022"
"18","Ezekeal Mata","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","louisiana-state","2022"
