"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Malik Cunningham","QB","13","20","0","0","0","0","0","0","20","0","0","0","0","0","0","126","9.7","","louisville","2021"
"2","James Turner","K","13","0","0","0","0","0","0","0","0","46","47","14","22","0","0","88","6.8","","louisville","2021"
"3","Tyler Harrell","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","louisville","2021"
"4","Jalen Mitchell","RB","12","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","louisville","2021"
"5","Ahmari Huggins-Bruce","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","louisville","2021"
"6","Jordan Watkins","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","louisville","2021"
"7","Trevion Cooley","RB","12","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","louisville","2021"
"8","Marshon Ford","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","louisville","2021"
"9","Jaylin Alderman","LB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","louisville","2021"
"10","Maurice Burkley","RB","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisville","2021"
"11","Justin Marshall","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisville","2021"
"12","Josh Johnson","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","louisville","2021"
"13","Jawhar Jordan","RB","4","0","0","0","1","0","0","0","1","0","0","0","0","0","0","6","1.5","","louisville","2021"
"14","Hassan Hall","RB","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","louisville","2021"
"15","Braden Smith","WR","4","0","1","1","0","0","0","0","2","0","0","0","0","0","0","6","1.5","","louisville","2021"
"16","Aidan Robbins","RB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","louisville","2021"
"17","Brock Travelstead","K","13","0","0","0","0","0","0","0","0","5","5","0","0","0","0","5","0.4","","louisville","2021"
