"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Rasheen Ali","RB","12","15","1","0","0","0","0","0","16","0","0","0","0","0","0","96","8.0","","marshall","2023"
"2","Rece Verhoff","K","13","0","0","0","0","0","0","0","0","32","32","11","18","0","0","65","5.0","","marshall","2023"
"3","Cam Fancher","QB","10","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","marshall","2023"
"4","Caleb McMillan","WR","11","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","marshall","2023"
"5","Charles Montgomery","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","marshall","2023"
"6","Jayden Harrison","WR","13","0","1","0","2","0","0","0","3","0","0","0","0","0","0","18","1.4","","marshall","2023"
"7","Caleb Coombs","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","marshall","2023"
"8","Kameron Lake","K","1","0","0","0","0","0","0","0","0","4","4","1","2","0","0","7","7.0","","marshall","2023"
"9","Cade Conley","TE","7","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","marshall","2023"
"10","DeMarcus Harris","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","marshall","2023"
"11","Elijah Alston","DL","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","marshall","2023"
"12","Ethan Payne","RB","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","marshall","2023"
"13","Josh Moten","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","marshall","2023"
"14","Sean Sallis","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","marshall","2023"
"15","TyQaze Leggs","DL","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0.2","","marshall","2023"
