"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Joseph Petrino","K","13","0","0","0","0","0","0","0","0","39","44","13","20","0","0","78","6.0","","maryland","2021"
"2","Tayon Fleet-Davis","RB","13","8","1","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","maryland","2021"
"3","Chigoziem Okonkwo","TE","13","0","5","0","0","0","0","0","5","0","0","0","0","1","0","32","2.5","","maryland","2021"
"4","Carlos Carriere","WR","10","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","maryland","2021"
"5","Rakim Jarrett","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","maryland","2021"
"6","Corey Dyches","TE","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","maryland","2021"
"7","Challen Faamatau","RB","9","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","2.0","","maryland","2021"
"8","Dontay Demus","WR","6","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","3.0","","maryland","2021"
"9","Taulia Tagovailoa","QB","13","2","0","0","0","0","0","0","2","0","0","0","0","1","0","14","1.1","","maryland","2021"
"10","Colby McDonald","RB","8","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","maryland","2021"
"11","Darryl Jones","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","maryland","2021"
"12","Roman Hemby","RB","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","3.0","","maryland","2021"
"13","Peny Boone","RB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","maryland","2021"
"14","Greg Rose","DL","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","maryland","2021"
"15","Tarheeb Still","DB","13","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","maryland","2021"
"16","Marcus Fleming","WR","7","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","maryland","2021"
"17","Antwain Littleton II","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","maryland","2021"
"18","Brian Cobbs","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","maryland","2021"
"19","Antwaine Littleton","","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","maryland","2021"
"20","Harrison Beattie","K","2","0","0","0","0","0","0","0","0","1","1","1","1","0","0","4","2.0","","maryland","2021"
"21","Jack Howes","K","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1.0","","maryland","2021"
