"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Cameron Carson","K","12","0","0","0","0","0","0","0","0","22","24","8","12","0","0","46","3.8","","massachusetts","2021"
"2","Ellis Merriweather","RB","12","5","1","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","massachusetts","2021"
"3","Josiah Johnson","TE","11","2","3","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","massachusetts","2021"
"4","Rico Arnold","WR","11","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","massachusetts","2021"
"5","Jared Chisari","RB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","massachusetts","2021"
"6","Tyler Lytle","QB","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","6.0","","massachusetts","2021"
"7","Carter Scudo","WR","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","massachusetts","2021"
"8","Eric Collins","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","massachusetts","2021"
"9","Jacob Orlando","TE","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","massachusetts","2021"
"10","Kay'ron Adams","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","massachusetts","2021"
"11","Melvin Hill","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","massachusetts","2021"
"12","Taylor Edwards","TE","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","massachusetts","2021"
"13","Zamar Wise","QB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","massachusetts","2021"
