"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Andres Borregales","K","12","0","0","0","0","0","0","0","0","32","32","17","20","0","0","83","6.9","","miami-fl","2022"
"2","Henry Parrish Jr.","RB","10","4","2","0","0","0","0","0","6","0","0","0","0","0","0","36","3.6","","miami-fl","2022"
"3","Colbie Young","WR","10","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","miami-fl","2022"
"4","Thaddius Franklin Jr.","RB","8","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.8","","miami-fl","2022"
"5","Will Mallory","TE","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","miami-fl","2022"
"6","Keyshawn Smith","WR","8","0","2","0","1","0","0","0","3","0","0","0","0","0","0","18","2.3","","miami-fl","2022"
"7","Xavier Restrepo","WR","7","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.7","","miami-fl","2022"
"8","Jaleel Skinner","TE","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","miami-fl","2022"
"9","Jaylan Knighton","RB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","miami-fl","2022"
"10","Kahlil Brantley","TE","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","miami-fl","2022"
"11","Kamren Kinchens","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","miami-fl","2022"
"12","Michael Redding III","WR","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","miami-fl","2022"
"13","Terrell Walden","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","miami-fl","2022"
"14","Gilbert Frierson","DB","10","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.6","","miami-fl","2022"
"15","Frank Ladson Jr.","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","miami-fl","2022"
"16","Devon Perry","RB","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","6.0","","miami-fl","2022"
"17","Jake Garcia","QB","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.3","","miami-fl","2022"
