"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Graham Nicholson","K","14","0","0","0","0","0","0","0","0","35","37","27","28","0","0","116","8.3","AA","miami-oh","2023"
"2","Rashad Amos","RB","14","13","0","0","0","0","0","0","13","0","0","0","0","0","0","78","5.6","","miami-oh","2023"
"3","Gage Larvadain","WR","10","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","3.6","","miami-oh","2023"
"4","Cade McDonald","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","miami-oh","2023"
"5","Kenny Tracy","RB","11","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.6","","miami-oh","2023"
"6","Brett Gabbert","QB","8","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","miami-oh","2023"
"7","Javon Tracy","WR","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","miami-oh","2023"
"8","Kevin Davis","RB","13","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","miami-oh","2023"
"9","Keyon Mozee","RB","12","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","miami-oh","2023"
"10","Reginald Virgil","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","miami-oh","2023"
"11","Aveon Smith","QB","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","miami-oh","2023"
"12","Nate Muersch","TE","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","miami-oh","2023"
"13","Nate Milanowski","RB","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","miami-oh","2023"
"14","Kobe Hilton","DL","14","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.4","","miami-oh","2023"
"15","Jordan Brunson","RB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","miami-oh","2023"
"16","Joe Wilkins","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","miami-oh","2023"
"17","Kellan McLaughlin","K","2","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3","1.5","","miami-oh","2023"
