"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Keon Coleman","WR","12","0","7","0","0","0","0","0","7","0","0","0","0","2","0","46","3.8","","michigan-state","2022"
"2","Elijah Collins","RB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","michigan-state","2022"
"3","Jalen Berger","RB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","michigan-state","2022"
"4","Jayden Reed","WR","11","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","michigan-state","2022"
"5","Ben Patton","K","6","0","0","0","0","0","0","0","0","15","16","4","8","0","0","27","4.5","","michigan-state","2022"
"6","Tre Mosley","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","michigan-state","2022"
"7","Jack Stone","K","12","0","0","0","0","0","0","0","0","15","16","2","4","0","0","21","1.8","","michigan-state","2022"
"8","Jarek Broussard","RB","12","3","0","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","michigan-state","2022"
"9","Daniel Barker","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","michigan-state","2022"
"10","Germie Bernard","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","michigan-state","2022"
"11","Maliq Carr","TE","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","michigan-state","2022"
"12","Charles Brantley","DB","11","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","michigan-state","2022"
"13","Montorie Foster","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","michigan-state","2022"
"14","Payton Thorne","QB","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","michigan-state","2022"
"15","Stephen Rusnak","K","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0.5","","michigan-state","2022"
