"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Jake Moody","K","14","0","0","0","0","0","0","0","0","56","56","23","25","0","0","125","8.9","AA","michigan","2021"
"2","Hassan Haskins","RB","14","20","0","0","0","0","0","0","20","0","0","0","0","0","0","120","8.6","","michigan","2021"
"3","Blake Corum","RB","12","11","1","0","0","0","0","0","12","0","0","0","0","0","0","72","6.0","","michigan","2021"
"4","Donovan Edwards","RB","12","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","2.0","","michigan","2021"
"5","A.J. Henning","WR","14","2","0","0","1","0","0","0","3","0","0","0","0","1","0","20","1.4","","michigan","2021"
"6","Cornelius Johnson","WR","14","0","3","0","0","0","0","0","3","0","0","0","0","1","0","20","1.4","","michigan","2021"
"7","Andrel Anthony","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","michigan","2021"
"8","Luke Schoonmaker","TE","14","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.3","","michigan","2021"
"9","Roman Wilson","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","michigan","2021"
"10","Daylen Baldwin","WR","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","michigan","2021"
"11","Erick All","TE","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","michigan","2021"
"12","J.J. McCarthy","QB","11","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.1","","michigan","2021"
"13","Mike Sainristil","WR","14","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","michigan","2021"
"14","Cade McNamara","QB","14","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.4","","michigan","2021"
"15","DJ Turner","DB","14","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.4","","michigan","2021"
"16","Ronnie Bell","WR","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","6.0","","michigan","2021"
