"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Zeke Rankin","K","12","0","0","0","0","0","0","0","0","35","37","10","14","0","0","65","5.4","","middle-tennessee-state","2023"
"2","Elijah Metcalf","WR","12","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.5","","middle-tennessee-state","2023"
"3","Holden Willis","WR","11","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.7","","middle-tennessee-state","2023"
"4","Frank Peasant","RB","9","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","2.7","","middle-tennessee-state","2023"
"5","DJ England-Chisolm","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","middle-tennessee-state","2023"
"6","Jaiden Credle","RB","12","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","middle-tennessee-state","2023"
"7","Nicholas Vattiato","QB","12","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","middle-tennessee-state","2023"
"8","Zack Dobson","WR","10","1","2","0","0","0","0","0","3","0","0","0","0","0","0","18","1.8","","middle-tennessee-state","2023"
"9","DJ Riles","QB","12","1","1","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","middle-tennessee-state","2023"
"10","Jekail Middlebrook","RB","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","3.0","","middle-tennessee-state","2023"
"11","Jeremy Tate Jr.","WR","8","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.5","","middle-tennessee-state","2023"
"12","Bryce Bailey","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","middle-tennessee-state","2023"
"13","Justin Olson","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","middle-tennessee-state","2023"
"14","Kalani Norris","WR","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","middle-tennessee-state","2023"
"15","Richard Kinley","DL","9","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.7","","middle-tennessee-state","2023"
"16","Terry Wilkins","RB","7","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","middle-tennessee-state","2023"
