"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Makai Polk","WR","13","0","9","0","0","0","0","0","9","0","0","0","0","1","0","56","4.3","","mississippi-state","2021"
"2","Jo'quavious Marks","RB","13","6","3","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","mississippi-state","2021"
"3","Nolan Mccord","K","9","0","0","0","0","0","0","0","0","23","23","9","16","0","0","50","5.6","","mississippi-state","2021"
"4","Jaden Walley","WR","13","0","6","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","mississippi-state","2021"
"5","Brandon Ruiz","K","6","0","0","0","0","0","0","0","0","19","19","5","9","0","0","34","5.7","","mississippi-state","2021"
"6","Malik Heath","WR","11","0","5","0","0","0","0","0","5","0","0","0","0","1","0","32","2.9","","mississippi-state","2021"
"7","Dillon Johnson","RB","13","4","1","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","mississippi-state","2021"
"8","Rara Thomas","WR","10","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","mississippi-state","2021"
"9","Austin Williams","WR","13","0","4","0","0","0","0","0","4","0","0","0","0","0","0","24","1.8","","mississippi-state","2021"
"10","Jamire Calvin","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","mississippi-state","2021"
"11","Lideatrick Griffin","WR","10","0","0","0","1","0","0","0","1","0","0","0","0","0","0","6","0.6","","mississippi-state","2021"
"12","Rufus Harvey","WR","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","mississippi-state","2021"
