"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Quinshon Judkins","RB","13","16","1","0","0","0","0","0","17","0","0","0","0","0","0","102","7.8","","mississippi","2022"
"2","Jonathan Cruz","K","13","0","0","0","0","0","0","0","0","48","49","15","17","0","0","93","7.2","","mississippi","2022"
"3","Zach Evans","RB","12","9","1","0","0","0","0","0","10","0","0","0","0","0","0","60","5.0","","mississippi","2022"
"4","Jonathan Mingo","WR","13","1","5","0","0","0","0","0","6","0","0","0","0","1","0","38","2.9","","mississippi","2022"
"5","Malik Heath","WR","13","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","2.3","","mississippi","2022"
"6","Ulysses Bentley IV","RB","6","4","0","0","0","0","0","0","4","0","0","0","0","0","0","24","4.0","","mississippi","2022"
"7","Dayton Wade","WR","13","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.4","","mississippi","2022"
"8","Michael Trigg","TE","7","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","2.6","","mississippi","2022"
"9","Jordan Watkins","WR","13","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","0.9","","mississippi","2022"
"10","Casey Kelly","TE","11","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","mississippi","2022"
"11","Jaxson Dart","QB","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","mississippi","2022"
"12","J.J. Pegues","DT","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","mississippi","2022"
"13","Ladarius Tennison","S","13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","mississippi","2022"
"14","Luke Altmyer","QB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","mississippi","2022"
"15","Matt Jones","RB","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","mississippi","2022"
"16","Christian Schanefelt","K","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","2","2.0","","mississippi","2022"
