"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Harrison Mevis","K","13","0","0","0","0","0","0","0","0","33","33","22","28","0","0","99","7.6","","missouri","2022"
"2","Cody Schrader","RB","13","9","0","0","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","missouri","2022"
"3","Luther Burden","WR","13","2","6","1","0","0","0","0","9","0","0","0","0","0","0","54","4.2","","missouri","2022"
"4","Brady Cook","QB","13","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","2.8","","missouri","2022"
"5","Dominic Lovett","WR","12","0","3","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","missouri","2022"
"6","Nathaniel Peat","RB","12","2","1","0","0","0","0","0","3","0","0","0","0","0","0","18","1.5","","missouri","2022"
"7","Chritauskie Dove","WR","13","0","1","0","0","0","0","0","1","0","0","0","0","1","0","8","0.6","","missouri","2022"
"8","BJ Harris","RB","13","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","missouri","2022"
"9","Daylan Carnell","DB","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","missouri","2022"
"10","Demariyon Houston","WR","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.2","","missouri","2022"
"11","Joseph Charleston","DB","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","0.5","","missouri","2022"
"12","Ryan Hoerstkamp","TE","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.7","","missouri","2022"
"13","Tyler Stephens","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","missouri","2022"
