"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Daniel Davies","K","12","0","0","0","0","0","0","0","0","19","19","10","16","0","0","49","4.1","","navy","2022"
"2","Daba Fofana","FB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","navy","2022"
"3","Tai Lavatai","QB","8","5","1","0","0","0","0","0","6","0","0","0","0","0","0","36","4.5","","navy","2022"
"4","Vincent Terrell II","RB","12","2","2","0","0","0","0","0","4","0","0","0","0","1","0","26","2.2","","navy","2022"
"5","Anton Hall","FB","10","3","1","0","0","0","0","0","4","0","0","0","0","0","0","24","2.4","","navy","2022"
"6","Xavier Arline","QB","9","3","0","0","0","0","0","0","3","0","0","0","0","1","0","20","2.2","","navy","2022"
"7","Bijan Nichols","K","3","0","0","0","0","0","0","0","0","5","6","3","3","0","0","14","4.7","","navy","2022"
"8","Jayden Umbarger","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","navy","2022"
"9","Maquel Haywood","RB","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.0","","navy","2022"
"10","Jianni Woodson-Brooks","LB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","navy","2022"
"11","Logan Point","FB","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0.8","","navy","2022"
"12","Maasai Maynor","QB","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","2.0","","navy","2022"
"13","Mark Walker","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","navy","2022"
"14","Nathan Kent","WR","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","navy","2022"
"15","Evan Warren","K","12","0","0","0","0","0","0","0","0","2","2","0","1","0","0","2","0.2","","navy","2022"
