"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Timmy Bleekrode","K","12","0","0","0","0","0","0","0","0","34","35","9","12","0","0","61","5.1","","nebraska","2022"
"2","Trey Palmer","WR","12","0","9","0","0","0","0","0","9","0","0","0","0","0","0","54","4.5","","nebraska","2022"
"3","Anthony Grant","RB","12","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.0","","nebraska","2022"
"4","Casey Thompson","QB","10","5","0","0","0","0","0","0","5","0","0","0","0","0","0","30","3.0","","nebraska","2022"
"5","Ajay Allen","RB","4","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","3.0","","nebraska","2022"
"6","Chubba Purdy","QB","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","nebraska","2022"
"7","Jaquez Yant","RB","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","2.0","","nebraska","2022"
"8","Travis Vokolek","TE","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","nebraska","2022"
"9","Brody Belt","WR","6","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","nebraska","2022"
"10","Chance Brewington","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","nebraska","2022"
"11","Isaiah Garcia-Castaneda","WR","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","1.5","","nebraska","2022"
"12","Malcolm Hartzog","DB","12","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","nebraska","2022"
"13","Marcus Washington","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","nebraska","2022"
"14","Nate Boerkircher","TE","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","nebraska","2022"
"15","Oliver Martin","WR","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.5","","nebraska","2022"
