"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
"1","Daniel Gutierrez","P","12","0","0","0","0","0","0","0","0","34","34","18","19","0","0","88","7.3","","nevada-las-vegas","2022"
"2","Aidan Robbins","RB","11","9","1","0","0","0","0","0","10","0","0","0","0","0","0","60","5.5","","nevada-las-vegas","2022"
"3","Doug Brumfield","QB","10","6","0","0","0","0","0","0","6","0","0","0","0","0","0","36","3.6","","nevada-las-vegas","2022"
"4","Kyle Williams","WR","9","0","5","0","0","0","0","0","5","0","0","0","0","0","0","30","3.3","","nevada-las-vegas","2022"
"5","Ricky White","WR","12","0","4","0","0","0","0","0","4","0","0","0","0","1","0","26","2.2","","nevada-las-vegas","2022"
"6","Nick Williams","WR","12","0","2","0","0","0","0","0","2","0","0","0","0","1","0","14","1.2","","nevada-las-vegas","2022"
"7","Cameron Oliver","DB","11","0","0","0","0","0","2","0","2","0","0","0","0","0","0","12","1.1","","nevada-las-vegas","2022"
"8","Jordan Younge-Humphrey","RB","10","2","0","0","0","0","0","0","2","0","0","0","0","0","0","12","1.2","","nevada-las-vegas","2022"
"9","Elijah Shelton","LB","11","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","nevada-las-vegas","2022"
"10","Harrison Bailey","QB","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1.0","","nevada-las-vegas","2022"
"11","Jeff Weimer","WR","7","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.9","","nevada-las-vegas","2022"
"12","Johnathan Baldwin","DB","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0.5","","nevada-las-vegas","2022"
"13","Senika McKie","WR","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","0.6","","nevada-las-vegas","2022"
"14","Zyell Griffin","WR","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","6","3.0","","nevada-las-vegas","2022"
